supongo,(I) suppose
suponemos,"assume, (we) suppose, (we) mean"
sucederá,"(he/she/it/you) will happen, (he/she/it/you) will succeed, (he/she/it/you) will follow"
sucederán,will happen
construyes,"(you) build, (you) construct"
construyen,"(they/you-plural) build, (they/you-plural) construct"
construye,"(he/she/it) constructs, (you-formal) build, (he/she/it) builds"
construyo,"(I) construct, (I) build"
construimos,"(we) build, (we) construct, (we) constructed"
amé,"love, (I) loved, (I) made love"
amamos,"(we) love, loved"
amaste,(you) loved
amó,"(he/she/it/you) loved, (he/she/it/you) made love, love"
amaron,"loved, love"
decía,(they) said
decíamos,"(we) were saying to oneself, (we) used to say to each other, (we) were saying to each other"
decías,"(you) used to say, (you) were thinking, said"
decían,"(they/you-plural) were saying to oneself, said, saying"
mantengo,"(I) keep up, run, (I) support"
mantienes,"run, (you) keep up, (you) have"
mantienen,"(they/you-plural) support, (they/you-plural) maintain, (they/you-plural) support / maintain / keep oneself"
mantiene,"(he/she/it) supports, (you-formal) maintain, (he/she/it) supports / maintain / keep oneself"
mantenemos,"run, (we) maintain, support"
mantener,"(to) keep, (to) support, (to) keep up"
incluye,"(he/she/it) includes, include!, (you-formal) include"
incluyo,"(I) enclose, (I) include, (I) contain"
incluyes,(you) include
incluyen,"(they/you-plural) include, (they/you-plural) enclose, (they/you-plural) contain"
incluimos,(we) are including
golpear,"hitting, (to) hit"
golpeas,"(you) bang, beat, (you) hit"
golpea,(you) hit
destruirá,will destroy
destruir,(to) destroy
destruirán,(they) will destroy
deliciosa,"delightful, delicious, exquisite"
deliciosos,delicious
delicioso,delicious
murió,"(he) died, (she) died, die"
individuales,"individuals, singles, isolated"
individual,"individual, character"
destruyes,(you) are destroying
destruyen,(they) destroy
destruyo,(I) am destroying
destruye,(he) destroys
destruimos,"(we) destroyed, (we) destroy"
dejamos,"let, (we) let, (we) allowed"
dejé,"(I) left, (I) stopped"
dejaba,"let, (I/he/she/it/you) used to let, (I/he/she/it/you) used to leave"
deja,"(she) lets, (you) put down, (you) stop"
dejado,"left, let, abandoned"
dejaron,"(they) left, (they) stopped"
dejaste,"leave, (?) did you leave, (you) left"
dejo,"let, leave, (I) leave"
dejando,"leaving, letting, abandoning"
dejan,"let, (they/you-plural) let, (they/you-plural) abandon"
dejó,"(?) did he leave, (he) left, (he) stopped"
dejar,"let, (to) leave, (to) allow"
podía,"(he) could, (it) might, might"
podían,"could, (they/you-plural) was/were able to, (they/you-plural) were being able to"
sabías,"(you) used to know, (you) tasted, (you) knew"
sabían,(they) knew
sabía,"(he) knew, (she) knew"
puestas,"wear, wears"
puestos,"places, positions, jobs"
puesta,"places, positions, jobs"
puesto,"put, (I) have on, (she) has on"
costó,"(?) did it cost, (it) cost"
costaron,"(they) cost, (?) did they cost"
muchacho,"boy, guy, kid"
muchachos,"boys, kids, guys"
muchacha,"girl, lass, young girl"
muchachas,"young girls, girls"
soñamos,"(we) dream, (we) dreamed/dreamt"
soñó,(she) dreamed
soñaron,(they) dreamed
soñaste,(?) did you dream
soñé,(I) dreamed
matar,"kill, (to) kill, (to) kill oneself"
mató,"kill, killed"
matarán,cover
mataré,(I) will kill
