tendrán,"have, (?) will they be having, had"
tendré,"have, (I) will have, keep"
tendremos,"have, (we) will have"
tendrá,"(he) will have, he'll have"
pondrán,"(they/you-plural) will pay, (they/you-plural) will post, (they/you-plural) will mail"
pondrás,"(?) will you put, (you) will put"
pondrá,(she) will put
pondremos,(we) will put
tendrás,"(you) will have, (you) will be, you'll be"
importo,"(I) import, (I) matter, (I) amount to"
importamos,"(we) amount to, (we) imported, (we) came to"
importan,"(they/you-plural) import, (they/you-plural) matter, (they/you-plural) amount to"
importaba,matter
importará,matter
importa,"(?) do they mind, (?) do you mind, (?) does she mind"
pondré,"give, (I) will put in, (I) will post"
trasero,"can, back"
trasera,back
vivos,"alive, bright, brights"
vivas,"(you) live, (you) cheer, (you) be alive"
viva,"live, alive, live!"
vivo,"(I) live, bright"
saldrán,"go, (they) will leave"
saldrá,"(she) will go out, (he) will leave"
vendremos,"come, (we) will come, (we) will arrive"
vendrá,"(he) will be coming, (he) will come, (she) will be coming"
vendrás,"call, (you) will arrive, come"
saldremos,"go, we will leave"
arriba,"upstairs, up"
abajo,"down, downstairs, below"
de todas maneras,"in any case, anyway"
haremos,"(we) will make, (we) will do, cook"
hará,"will, (he/she/it/you) will make, (he/she/it/you) will make out"
haré,"(I) will do, (I) will make, (I) will be doing"
harán,"(they/you-plural) will do, (they/you-plural) will become, (they/you-plural) will work"
dirán,"say, will say, give"
diré,"(I) will say, (I) will tell"
dirás,"(you) will say, give, read"
dirá,"say, (he/she/it/you) will say, (he/she/it/you) will say to oneself"
tal como,such as
habrá,"there will be, will be"
gabinetes,cabinets
gabinete,cabinet
lavaplatos,"dishwasher, sink"
techo,"ceiling, roof"
techos,"ceiling, roof"
sabrán,"(they/you-plural) will taste, (they/you-plural) will know, know"
sabré,"know, (I) will know, (I) will taste"
sabremos,"(we) will taste, know, (we) will know"
sabrás,"(you) will know, know, (you) will taste"
sabrá,"(he) will know, he'll know"
podrás,"(you) will be able to, you'll be able to"
podrá,"(he/she/it/you) will be able to, may"
podré,"(I) will be able to, can"
podrán,"(they/you-plural) will be able to, (they/you-plural) will be capable of"
podremos,"can, we can, (we) will be able to"
cuadrada,"square, balanced, breve"
cuadrados,"square, squares"
cuadradas,square
cuadrado,square
redondas,round
redondo,"round, round-trip, round (of beef)"
redonda,"round, round-trip, Roman character"
redondos,"round-trip, round (of beef), round"
pantalla,screen
juego,"game, (I) play, games"
frente,"front, brow, facade"
