calidad,"quality, status"
importa,"(?) do they mind, (?) do you mind, (?) does she mind"
importamos,"(we) amount to, (we) imported, (we) came to"
importo,"(I) import, (I) matter, (I) amount to"
importan,"(they/you-plural) import, (they/you-plural) matter, (they/you-plural) amount to"
importaba,matter
importará,matter
de,"of, from, 's"
algodón,"cotton, cotton (wool) ball, piece of cotton"
informal,inform
informales,"(we) will get information, (we) will inform, (we) will shape"
original,"originals, original"
originales,"originals, original"
feo,"ugly, bad"
feas,"ugly, unpleasant"
fea,"ugly, unflattering, unpleasant"
feos,"ugly, bad, unpleasant"
sudadera,sweatshirt
sudaderas,sweatshirts
llevé,"(I) took, (I) drove, (I) wore"
llevó,"(?) has he packed, (he) carried, (he) took"
llevado,"taken, worn, born"
llevaba,"Wearing, (I/he/she/it/you) was/were wearing, (I/he/she/it/you) was/were taking"
llevamos,"(we) took, (we) are carrying"
llevas,"(?) can you carry, (?) do you carry, (you) are carrying"
llevan,"(they) are carrying, (they) wear"
llevar,"take, (to) take, (to) bring"
llevaste,"(you) took, (?) did you take, (you) wore"
llevo,"(I) wear, (I) take, (I) am carrying"
llevando,"taking, carrying, wearing"
lleva,"(it) takes, (she) carries, (she) is carrying"
llevaron,"(?) did you take, take, (they) carried"
diseños,designs
diseño,"(I) design, (I) plan, (I) outline"
marca,"brand!, (you-formal) brand, mark!"
marcas,"brands, (you) brand, (you) mark"
por,"for, in, by"
centro comercial,"shopping center, mall, shopping mall"
centros comerciales,malls
sandalias,sandals
ropa interior,"underwear, smallest"
apretado,"heavy, squeezed / squash together, cheap"
apretadas,"heavy, squeezed / squash together, cheap"
apretados,"heavy, squeezed / squash together, cheap"
apretada,"made an effort, tight, put pressure on"
tamaños,sizes
tamaño,size
de talla única,one size fits all
tela,"fabric, piece of material / fabric / cloth, canvas"
falta,"lack, (he/she/it) is missing, (you-formal) are missing"
faltan,"missing, (they/you-plural) are missing, Missing"
gorros,"hats, caps"
gorro,cap
total,"total, in the end, resounding"
caja registradora,cash register
tarjetas de crédito,Credit cards
cajas registradoras,cash registers
cajeros automáticos,ATMs
cajero automático,atm
receta,"prescription, (you-formal) prescribe, prescribe!"
ingredientes,ingredients
compra,"(?) are you buying, (?) does she buy, (?) is he buying"
libra,"book, books, textbook"
libras,"book, books, textbook"
mezcla,"(he) mixes, (you) mix"
vainilla,vanilla
fresa,strawberry
fresas,strawberries
helado,ice cream
helados,"cold, ice cream"
cereza,cereal
cerezas,cereal
durazno,"during, for, in"
duraznos,peaches
atún,tuna
especias,"kind, sort, species"
freír,"to fry, frying, fried"
lechugas,"lettuce, heads of lettuce"
lechuga,"lettuce, head of lettuce"
batir,"beat, (to) beat, (to) beat against"
brócoli,broccoli
microondas,microwave
deme,want
meriendas,do you snack
merienda,"snack, afternoon snack, have a snack in the afternoon!"
sabores,"flavor, taste"
sabor,"flavor, taste"
mayonesa,Mayonnaise
vinagre,vinegar
mostaza,mustard
maíz,corn
maní,many
clínica,"clinic, private hospital / clinic, clinical"
antibióticos,antibiotics
antibiótico,antibiotic
farmacias,pharmacies
farmacia,"pharmacy, chemist's, drugstore"
doctora,"doctor, doctors"
doctoras,"doctors (feminine), doctors"
doctores,doctors
doctor,"doctor, doctors"
mayor,mayor
mayores,older
lo,"it, you, him"
viviendo,"living, staying, being alive"
practica,"practice, (you-formal) practice, (he/she/it) carries out"
evitarlo,"help, (to) avoid (him/it), (to) prevent (him/it)"
evita,"prevent!, (you-formal) prevent, (he/she/it) avoids"
evito,missed
practican,(they) practice
evitarme,"(to) avoid (me), (to) prevent (me), (to) save (me)"
evitar,"(to) avoid, (to) prevent, (to) save"
comprado,"bought, got, purchased"
dieta,"diet, allowance, assembly"
peso,"weight, by weight, (I) weigh"
pesos,pesos
bastantes,"pretty, quite, quite a lot"
bastante,"pretty, quite, quite a lot"
análisis de sangre,blood test
me quemo,I'm burning
se quemaron,they burned
quemando,"burning off, burning, burning … at the stake"
me quemé,i burned
te quemaste,you burned
se quemó,it burned
piel,"skin, fur, leather"
herida,hurt
así,"so, like that, like this"
mareado,dizzy
mareada,dizzy
mareados,dizzy
mejor,"better, best, instead"
paciente,"patient, passive"
pacientes,"patients, passive, patient"
peor,"worse, worst"
por suerte,"fortunately, luckily"
resfriado,cold
resfriadas,cold
resfriados,cold
tos,cough
codo,"elbow, elbow;, tightfisted"
enfermarme,exasperating
enfermarse,exasperating
se enferman,They get sick
enfermarte,exasperating
me enfermo,I get sick
se enferma,get sick
estrés,stress
discoteca,"club, dance club"
discotecas,"clubs, dance clubs"
humor,"mood, humor"
paseo,walk
paseos,"walks, drives, rides"
nos pusimos,we got
se pone,"(she) puts on, (?) is she putting on, (he) puts on"
poner,"put, (to) put, (to) set"
se ponen,"(they) put on, (you) put on, (you) are putting on"
nos ponemos,(we) put on
te pusiste,you put
ponerte,"put, (to) put on, putting on"
ponerme,"put, (to) put on, (to) wear"
te pones,"(you) put on, (?) are you putting on"
me ponía,I put on
ponerse,"put, (to) put on"
poniendo,"putting, playing"
me puse,"(I)  put, (I)  gave, (I)  placed"
se puso,"(he/she/it/you)  gave, (he/she/it/you)  put, (he/she/it/you)  placed"
abrazo,"hold, hug"
regalaste,give
regaló,"give, gave"
regalo,"gift, present"
regalas,"(you) sell things at bargain prices, (you) sell … at bargain prices, (you) give"
regalaba,gave
regala,"(he/she/it) sells things at bargain prices, sell things at bargain prices!, give"
regalé,"(I) gave, (I) sold things at bargain prices, (I) sold … at bargain prices"
beso,"(I) kiss each other, (I) kiss"
romance,romantic
en el,at
sueño,"dream, sleepy, tired"
sueños,"dreams, sleeps"
amor,"love, darling, dear"
carácteres,"character, characteristic, nature"
carácter,"character, characteristic, nature"
alegre,"sunny, laughing"
alegres,cheers
relación,"relationship, account, association"
relaciones,"relationships, account, relationship"
parejas,"Couples, couple, evens"
pareja,"couple, partner"
boda,"wedding, marriage"
bodas,"wedding, marriage"
celebrar,"(to) celebrate, (to) say, (to) perform"
celebras,"(you) celebrate, (you) play, (you) perform"
celebramos,"hold, performed, celebrate"
celebra,"hold, celebrates, celebrate"
hubo,"there was, (?) was there, there were"
encantado,loved
encantadas,"enchanted, delighted, pleased"
encantados,"pleased, happy"
encantada,"enchanted, delighted, pleased"
excusas,"(you-formal) apologize, excuse!, (you-formal) excuse"
excusa,"(you-formal) apologize, excuse!, (you-formal) excuse"
divorcio,divorced
ex,"private, private road, ex-directory"
me pongo,"(I) put on, (I) am putting on, I'm putting on"
aceptan,"take, (they/you-plural) accept"
aceptaste,(to) accept (you)
aceptarlo,(to) accept (him/it)
acepto,"(I) accept, take"
aceptó,"(you) accept, take"
acepta,"(you-formal) accept, (he/she/it) accepts, take"
aceptamos,"(we) accepted, (we) accept, take"
aceptarte,(to) accept (you)
aceptar,"(to) accept, agreed, fall"
estado civil,marital status
barrio,neighborhood
barrios,neighborhood
monumentos,monuments
monumento,monument
terraza,"terrain, land, plot of land"
enormes,"huge, enormous"
enorme,"huge, enormous"
pasamos,"spend, (we) spent, (we) are spending"
pasar,"(to) pass, (to) spend, happen"
pasaba,"(I/he/she/it/you) used to pass (on), (I/he/she/it/you) used to spend, (I/he/she/it/you) used to happen"
pasando,"happening, going on, having"
pasábamos,"(we) passed (on), (we) happened, (we) used to happen"
pasé,"(I) spent, (I) passed, (I) had"
pasó,"happened, (?) did it happen, (he) had"
pasado,"last, past, given"
paso,"step, (I) spend, (I) am spending"
pasa,"(he) is spending, happens"
pasan,(they) are spending
pasaban,"play, show, spend"
pasaron,(they) passed
pase,"pass (on)!, happen!, go through!"
pasas,"(you) spend, (?) are you spending, (?) can you pass"
piensa,"(he) thinks, (you) think, think"
pensabas,"(you) were thinking, (you) were thinking about, (you) thought"
pensé,(I) thought
pensar,"(to) think, think"
piensas,"(you) think, (?) do you think, (you) are thinking"
pensaste,"(?) did you think, (you) thought"
pienso,"(I) think, (I) am thinking, plan"
piensan,"thinks, (you) think, think"
pensaron,(they) thought
pensamos,"(we) think, (we) thought, (we) are thinking"
pensando,thinking
pensó,"(he) thought, (she) thought"
pensaba,"(I/he/she/it/you) thought, (I/he/she/it/you) thought about, (I/he/she/it/you) was/were thinking about"
festivales,festivals
festival,festival
pasado mañana,day after tomorrow
anual,annually
circo,circles
panadería,"baker's (shop), bakery, baking"
quiosco,kiosk
a pie,walking
cola,tail
frutería,fruit store
mayoría,"majority, most"
lleva,"(it) takes, (she) carries, (she) is carrying"
