personal,"personal, staff"
personales,"personal, helps, peoples"
oportunidades,"opportunities, chances, downs"
oportunidad,"opportunity, chance, broken"
honesta,honest
honestas,honest
honestos,honest
honesto,honest
incorrecta,"wrong, impolite, incorrect"
incorrecto,"wrong, impolite, incorrect"
incorrectas,"wrong, impolite, incorrect"
para,"for, to, (he) stops"
opciones,options
opción,"option, choice"
descripción,description
descripciones,description
decisiones,"decisions, decisiveness"
decisión,"decision, call, decisiveness"
o,"or, and"
discutiendo,arguing
discutir,"(to) discuss, (to) argue"
discutimos,"we have an argument, (we) debated, (we) dispute"
discute,"(you-formal) debate, quarrel!, (he/she/it) quarrels"
discutieron,(they) discussed
discutí,"(you-formal) debate, quarrel!, (he/she/it) quarrels"
obvia,"(I) get around, (I) obviate, distinct"
obvios,"(I) get around, (I) obviate, distinct"
obvio,"(I) get around, (I) obviate, distinct"
distintas,"different, distinct, several"
distintos,"different, distinct, several"
distinto,"different, distinct, several"
distinta,"different, distinct, several"
ni,"nor, neither, not"
imposible,impossible
importancia,"importance, import"
necesaria,"necessary, inevitable, needed"
necesarias,"necessary, inevitable, needed"
necesario,"necessary, needed"
necesarios,"necessary, needed, inevitable"
opinión,"opinion, mind, view"
opiniones,"opinions, views"
único,"only, only one, unique"
única,only
únicos,"only, only one, extraordinary"
veces,times
vez,time
sentido,"felt, sense, direction"
puntos de vista,points of view
punto de vista,point of view
ventajas,"advantages, benefits, starts"
ventaja,"advantage, start"
experiencias,"experiments, experiences"
experiencia,"experience, experiment"
progreso,"(I) progress, (I) make progress"
progresos,progresses
ya,"already, now, anymore"
