congelador,freezer
me lo,me it
me la,me it
me los,me them
me las,me them
lavavajillas,dishwasher
escalera,"ladder, stepladder, run"
escaleras,stairs
te lo,you
te las,you
te la,cloth
se lo,I know
se los,I know them
se la,I know it
se las,I know them
aspiradora,vacuum cleaner
grifos,grasosa
grifo,faucet
quitaré,(he) will take off
quitar,(he) will take off
quitaron,(to) take off
quitaste,"(they/you-plural) come out, (they/you-plural) go, (they/you-plural) go away"
hacer la cama,make the bed
mancha,March
manchas,stains
sábana,"sheet, bedsheet"
sábanas,"sheets, bedsheets"
se,"you, are, each other"
pasas,"(you) spend, (?) are you spending, (?) can you pass"
pasamos,"spend, (we) spent, (we) are spending"
pasé,"(I) spent, (I) passed, (I) had"
pase,"pass (on)!, happen!, go through!"
pasaron,(they) passed
pasaban,"play, show, spend"
pasar,"(to) pass, (to) spend, happen"
pasa,"(he) is spending, happens"
pasando,"happening, going on, having"
pasaba,"(I/he/she/it/you) used to pass (on), (I/he/she/it/you) used to spend, (I/he/she/it/you) used to happen"
pasado,"last, past, given"
pasan,(they) are spending
pasó,"happened, (?) did it happen, (he) had"
pasábamos,"(we) passed (on), (we) happened, (we) used to happen"
paso,"step, (I) spend, (I) am spending"
planchaba,ironed
planchar,plan
plancharía,ironing
nos la,us it
nos lo,U.S
nos las,us them
tareas domésticas,housework
barrí,neighborhood
barre,"drives, drive"
barría,drove
barrer,"drove, drives, drive"
desordenada,messy
desordenado,untidy
ordenando,"asked for, tidy"
ordenaba,"clear, arrange, order"
ordenaría,"clear, arrange, order"
ordenar,"clear, arrange, order"
ordenas,"order, command"
ordenabas,you ordered
reciclan,we recycle
reciclaba,we recycle
reciclando,recycling
reciclar,"recycle, to recycle"
