calculadoras,calculators
calculadora,"calculator, calculating"
copia,"copy, copying"
copias,copies
profesión,"profession, calling, career"
contabilidad,accounting
se dedican,they dedicate
me dedico,I dedicate myself
nos dedicamos,Our services are
se dedica,is dedicated
dedicado,dedicated
firma,"(he/she/it) signs, signature, firm"
firmas,"(you) sign, (you) sign on, (you) register as unemployed"
búsqueda,search
datos,"facts, data, information"
dato,"facts, information, (I) date"
empleados,"employees, bank clerk, clerks"
empleada,worker
empleado,"employee, bank clerk, clerk"
empleadas,"employees, bank clerk, clerks"
roles,"paper, role"
rol,"paper, role"
quien,"who, whom, whoever"
ley,"law, acted, assay value"
leyes,"laws, assay value"
asistente,flight attendant
asistentes,flight attendant
desorganizadas,disorganized
desorganizado,disorganized
desorganizada,disorganized
desorganizados,disorganized
abogado,"(a) lawyer, (a) solicitor, (an) attorney"
abogadas,"lawyers, attorneys, solicitors"
abogada,"lawyer, attorney, barrister"
abogados,"lawyers, attorneys"
productos,"products, results"
producto,"product, result"
tercio,"(I) sling, (I) tilt, third"
tercios,"(I) sling, (I) tilt, third"
exportamos,we export
exportar,"support, stand"
exporta,experts
exportan,"(they/you-plural) import, (they/you-plural) matter, (they/you-plural) amount to"
exportando,exporting
producción,"production, output"
general,"generals, general"
generales,"generals, general"
beneficios,"benefits, charity performance, coffee processing plant"
beneficio,"(I) benefit, (I) am of benefit to, (I) dress"
servicio,"service, restroom"
servicios,"services, bathroom, bathrooms"
profesionales,"professional, professionals"
profesional,professional
valores,"values, (you) titrate, (you) appreciate"
valor,"value, any value, cheek"
altas,tall
altos,tall
alta,"tall, high"
alto,"tall, high, loud"
