venía,"(I/he/she/it/you) was/were coming, (I/he/she/it/you) was/were arriving, (I/he/she/it/you) came"
veníamos,we used to come
venías,"(you) arrived, (you) came, (you) used to arrive"
venían,"(they/you-plural) were arriving, (they/you-plural) came, (they/you-plural) used to arrive"
crié,"crib, cradle"
crió,"crib, cradle"
criamos,"raise, (we) raise, (we) reared"
criar,"raise, (we) raise, (we) reared"
criaron,"(they/you-plural) took care of oneself, (they/you-plural) cared for, (they/you-plural) looked after oneself"
pasado,"last, past, given"
paseaba,walked
paseamos,"(we) go for a drive, (we) walk, (we) go for a walk"
pasean,"(they/you-plural) walk, (they/you-plural) go for a walk, (they/you-plural) go cycling"
paseo,walk
pasear,"(to) walk, (to) go for a walk, (to) show off"
paseábamos,walked
desde,"from, since, as"
estrechos,"closes, narrow"
estrecha,"close, (he/she/it) gets narrower, (he/she/it) grows stronger"
estrechas,"(you) get narrower, closes, (you) narrow"
llegaba,"arrived, (I/he/she/it/you) used to come, (I/he/she/it/you) used to arrive"
parecía,"(I/he/she/it/you) seemed, (I/he/she/it/you) looked like, (I/he/she/it/you) used to look like"
visitaban,"(they) used to visit, (they) were visiting, (?) did you use to visit"
nos quedábamos,We were staying
parecían,"(they/you-plural) seemed, (they/you-plural) used to seem, (they/you-plural) were seeming"
llamaba,"(I/he/she/it/you) used to call, (I/he/she/it/you) used to call out, (I/he/she/it/you) used to call up"
visitaba,"(she) used to visit, (he) used to visit"
del,"of the, from the, about the"
de,"of, from, 's"
ayuntamiento,"town/city hall, town/city council"
centros,"centers, facilities"
centro,"downtown, center"
papelería,Stationery
te reunías,you met
nos reuníamos,we met
me reunía,I met
se reunían,they met
contigo,"with you, at you"
con,"with, to, about"
conmigo,"with me, at me, me"
salíamos,we went out
salía,rose
salían,rose
éramos,"were, (we) were, (we) were being"
fueron,"were, (?) did they go, (they) left"
ser,"be, (to) be, being"
somos,"(we) are, (?) are we, we're"
seremos,"be, (we) will be, are"
balcón,"observation point, circle, balcony"
al fondo del,the bottom of
al fondo de,at the bottom of
luminosa,luminous
luminoso,bright
carnicería,Butcher shop
hasta,"until, to, even"
gasolinera,gas station
gasolineras,gas station
comisaría,Police station
delante de,in front of
