des,"(you) deal, (you) face, from"
tigre,tiger
tigres,tiger
tengas,"(you) have, having"
terremoto,earthquake
terremotos,earthquake
taxista,taxi driver
taxistas,taxi drivers
pongas,(you) put
frágil,"breakable, fragile, delicate"
frágiles,"breakable, fragile, delicate"
hagas,"(you) do, (you) make, (you) ask"
polvo,"dust, powder, face powder"
suelo,"floor, ground, (I) usually"
grupo,"group, band"
grupos,groups
vengas,"(you) come, (you) arrive, (you) will come"
galería,"gallery, balcony, cornice"
salgas,(you) leave
oficina de correos,post Office
digas,"(you) say, (you) tell"
ocurrir,"(to) happen, (to) occur, come"
sentir,"feel, (to) feel, (to) hear"
cruzar,"(to) cross, cross, crossing"
caer,"fall, (to) fall down"
sentar,set
quitar,(he) will take off
explorando,exploring
casar,married
vestir,"(to) wear, wears, (to) decorate"
cepillar,(to) brush
casarse,(to) get married
parar,(to) stop
exploras,"investigate!, (you-formal) investigate, (you-formal) prospect for"
despertar,"wake, (to) wake up"
compartir,"(to) share, share, sharing"
odiar,"(to) hate, (to) pester, (to) hassle"
explorar,"(we) examine, (we) scouted, (we) prospect for"
región,"region, area, district"
regiones,"regions, areas, districts"
vayas,(you) go
eventos,"cases, events"
evento,"case, event"
costa,"coast, bank, costs"
salida de emergencia,emergency exit
desconocida,"unknown, stranger"
desconocidos,"strangers, unknown"
desconocidas,"unknown, strange, stranger"
desconocido,"unknown, strange, stranger"
local,"local, business, home"
locales,"local, businesses, homes"
campos,fields
campo,"field, country, countryside"
