explicáis,you explain
suma,"sum, (he/she/it) adds, (he/she/it) adds up"
historias,stories
educación,"education, learning, manners"
colegio,school
grados,"degrees, forms, grades"
grado,"grade, degree"
ausencia,"absence, lack"
ausencias,"absences, lacks"
lectura,"reading, interpretation, lecture"
inteligencia,"intelligence, intelligentsia, understanding"
conocimientos,"knowledge, consciousness, consciousnesses"
conocimiento,"knowledge, consciousness"
discusión,"discussion, argument"
facultad,"faculty, authority, college"
explicaciones,explanations
explicación,explanation
