voz,"voice, rumor, shouting"
voces,"voices, rumor, rumors"
prensa,"press!, printing press, (you-formal) press"
comunicaciones,"communications, communication, connection"
comunicación,"communication, communications, connection"
lenguajes,languages
lenguaje,language
argumento,"argument, (I) argue, plot"
argumentos,"arguments, plots, stories"
secreto,"secret, (I) secrete"
secretos,secrets
grito,"scream, (I) shout, call"
gritos,"shouts, cries, calls"
comentarios,"comments, commentaries, notes"
comentario,"comment, call, commentary"
silencio,quiet
postales,postcards
postal,postcard
editorial,"editorial, leader, leading article"
internets,Internet
