labios,"lips, labia"
oído,"heard, ear"
oídos,"ears, hearings, inner ears"
pecho,"chest, (I) shove, (I) jostle"
frente,"front, brow, facade"
duele,"hurt, (?) does it hurt, (it) hurts"
rodillas,knees
rodilla,knee
hombro,shoulder
saludes,health
ambulancia,ambulance
enfermedad,"illness, disease"
riesgos,risks
riesgo,risk
tratamiento,treatment
operación,"operation, transaction"
operaciones,"operations, transactions"
condición,"condition, class, conditions"
condiciones,"conditions, (you) determine, (you) condition"
presión,"pressure, blood pressure"
síntomas,"symptoms, indications, signs"
diagnóstico,"diagnosis, diagnostic"
dosis,"dose, doses, dosage"
depresiones,depressions
depresión,"depression, depressions"
virus,"virus, viruses"
órgano,"organ, member"
órganos,"organs, members"
lágrimas,"tears, teardrop, teardrops"
emociones,"emotions, (you) affect, (you) be moved"
emoción,"emotion, excitement"
remedio,"medicine, (I) remedy, (I) repair"
proteínas,proteins
circulación,"circulation, movement, traffic"
cadáver,"corpse, (dead) body, carcass"
mente,mind
olor,"smell, odor"
ayudas,"(you) help, (?) do you help"
grave,"bad, serious"
graves,"seriously ill, deep, graves"
