norteamericana,"American, North American"
norteamericano,"American, North American"
argentina,Argentina
argentino,"Argentinian, argentine, clear"
estadounidense,"American, US"
francés,French
británico,"British, Briton, British person"
América,America
Roma,Rome
extranjeros,"foreigners, foreign"
extranjero,foreign
Argentina,Argentina
regular,"regular, adjust, average"
universal,universal
amplio,"wide, spacious, big"
amplia,"wide, spacious, ample"
intelectuales,"intellectual, intellectuals"
intelectual,intellectual
independientes,independent
independiente,independent
comunes,"common, commons, mutual"
común,"common, average, mutual"
ideal,"ideal, dream, ideals"
superiores,"superior, better, higher"
superior,"superior, better, higher"
lógica,"logical, logic, logician (f.)"
lógico,"logical, logician (m.), natural"
industrial,"industrial, industrialist"
adecuado,"right, appropriate, adequate"
adecuada,"right, adequate, appropriate"
mal,"bad, wrong, badly"
malos,bad
mala,"bad, wrong"
malas,bad
puro,"pure, chaste, cigar"
pura,"pure, chaste, innocent"
infantil,"childish, children's"
probable,"likely, probable, provable"
similares,"similar (plural), likes"
similar,"similar, like"
loco,crazy
locos,"crazy, mad"
consciente,"conscious, aware"
eficaz,"effective, efficacious"
particulares,"particular, homes, matters"
particular,"particular, peculiar, (private) individual"
conveniente,"convenient, advisable"
inmediato,"immediately, immediate"
inmediata,immediate
inmediatas,immediate
revolucionarias,"revolutionary, revolutionaries"
revolucionario,revolutionary
brillante,"brilliant, bright, diamond"
escasa,"scarce, limited, scant"
escaso,"limited, short, slim"
elevado,"elevated, large, high"
pendiente,"pending, incline, hanging"
previa,"previous, preliminary, prior"
mínimo,"minimum, floor, little"
mínima,"minimum, minimum temperature, minimal"
vivas,"(you) live, (you) cheer, (you) be alive"
vivos,"alive, bright, brights"
viva,"live, alive, live!"
vivo,"(I) live, bright"
privadas,"private, private road, ex-directory"
privado,"private, been in, been fashionable"
privada,"private, private road, been fashionable"
ácido,"sour, acid"
formal,"formal, dependable, firm"
sencillo,"simple, change, change (money)"
sencilla,"simple, modest, one-way"
femenino,"feminine, female, ladies'"
legal,"legal, fairs, far out"
legales,"legal, fairs, far out"
libres,"free, off"
libre,"free, off"
presentes,"(you) present, those present, present tense"
