toqué,"(I) touched, (I) played, play"
oímos,"(we) hear, (we) heard"
oíste,"(you) heard, (you) listened to, (?) did you hear"
oyó,"(she) heard, hear"
oyeron,"(they/you-plural) heard, (they/you-plural) listened to, get"
oí,"(I) heard, (I) listened, hear"
siquiera,"at least, even"
dejamos,"let, (we) let, (we) allowed"
dejaste,"leave, (?) did you leave, (you) left"
dejaron,"(they) left, (they) stopped"
dejé,"(I) left, (I) stopped"
dejó,"(?) did he leave, (he) left, (he) stopped"
fuiste,"were, (you) were, (you) went"
fueron,"were, (?) did they go, (they) left"
fue,"(he) was, (he) went, (it) was"
fui,"(I) went, (I) was, (I) left"
fuimos,"(we) went, (we) were, go"
quedamos,are we getting together
pasé,"(I) spent, (I) passed, (I) had"
pasó,"happened, (?) did it happen, (he) had"
pasaron,(they) passed
volvisteis,you came back
pedí,"need!, (I) asked, (I) asked for"
pidieron,"(they/you-plural) had dibs on, (they/you-plural) ordered, (they/you-plural) bags (past)"
pediste,"(you) bags (past), (you) begged, (you) had dibs on"
pedimos,"(we) ordered, (we) asked, (we) ask"
pidió,"(he/she/it/you) asked for, (he/she/it/you) asked, (he/she/it/you) begged"
mostró,"(he) showed, (she) showed"
logró,"(he/she/it/you) was/were able to, (he/she/it/you) achieved, (he/she/it/you) attained"
seguiste,"(you) followed, (you) continued, (you) took"
seguimos,"We, followed, (we) continue"
seguí,"follow!, (I) continued, (I) took"
siguió,"(he/she/it/you) continued, (he/she/it/you) followed, (he/she/it/you) took"
presentó,"introduced, (he/she/it/you) introduced, (he/she/it/you) introduced oneself"
perdimos,"(we) lost, (?) did we miss, (we) missed"
perdieron,(they) lost
perdió,"(?) did he lose, (?) did she lose, (?) did she miss"
perdí,"(I) lost, (I) got lost, (I) missed"
perdiste,"(you) lost, (?) did you lose, (you) missed"
sentí,(I) felt
sintió,"(he) felt, (she) felt"
sentiste,"feel, (you) heard, (you) felt"
sentimos,"(we) feel, (we) felt"
recordamos,"(we) remember, (we) remembered"
inició,"started, (he/she/it/you) initiated, (he/she/it/you) commenced"
inicié,"(I) initiated, (I) began, (I) commenced"
cayó,(he) fell
caíste,(you) fell
apareció,"(he/she/it/you) appeared, (he/she/it/you) produced, (he/she/it/you) seemed"
conseguí,"(I) got, (I) obtained, (I) achieved"
consiguió,"(he) got, (she) got"
permitió,"(he/she/it/you) allowed, (he/she/it/you) permitted, allowed"
contó,"(he/she/it/you) counted, (he/she/it/you) told, (he/she/it/you) counted on"
contamos,"(we) count, (we) count on, (we) rely on"
conté,"tell, told"
contaste,"tell, told"
obtuvo,"(?) did they get, (he) got, (he) won"
contestasteis,you answered
alcanzó,"(he/she/it/you) reached, (he/she/it/you) caught, (he/she/it/you) achieved"
sacó,"(he/she/it/you) took out, (he/she/it/you) took, (he/she/it/you) took off"
negó,"(he/she/it/you) denied, (he/she/it/you) denied oneself, (he/she/it/you) refused"
negué,"(I) denied, (I) refused, (I) disowned"
consideró,"(he/she/it/you) considered, (he/she/it/you) considered oneself, (he/she/it/you) gave … consideration"
consideramos,"(we) consider, (we) consider oneself, (we) considered"
insistió,(he/she/it/you) insisted
ofreció,"(?) did he offer, (he) offered, (she) offered"
