gentes,people
trabajadora,"hard-working, worker"
trabajador,worker
trabajadores,workers
trabajadoras,workers
revolución,revolution
ciudadana,"citizen, character, madam"
ciudadano,"citizen, character, sir"
ciudadanos,"citizens, characters, madam"
vecino,neighbor
vecinos,neighbors
vecinas,neighbors
vecina,"neighbor, inhabitant, nearby"
audiencia,"audience, court, hearing"
matrimonio,"marriage, wedding, (I) get married"
víctima,victim
víctimas,victims
individuo,"individual, character"
individuos,"individuals, characters"
turismos,tourism
humanidad,"humanity, mankind"
enemigo,enemy
enemigos,enemies
costumbres,"habits, customs"
costumbre,"habit, custom, practice"
campesinos,"peasants, farmers, rural"
campesino,"farmer, country, peasant"
feria,"fair, (he/she/it) sells, (you-formal) sell"
caballero,"gentleman, knight"
testigo,"witness, baton, control"
testigos,"witnesses, batons, controls"
sino,"but, but rather, if not"
ni,"nor, neither, not"
miles,thousands
mil,"thousand, 1000, a thousand"
toneladas,"tons, tonnes"
doble,"twice, double!, (I/he/she/it/you) double"
tercero,third
tercera,third
