cursos,courses
me,"with me, at me, me"
me ama,(she) loves me
me ayudas,"(?) can you help me, (you) help me"
me compra,"(he) buys me, (she) buys me, (he) is buying me"
me conoce,"(she) knows me, (he) knows me, (you) know me"
me enseña,"(he) is teaching me, (she) is teaching me, (he) teaches me"
me escucha,"(she) listens to me, (you) listen to me, (he) listens to me"
me llaman,(they) call me
me necesita,"(she) needs me, (he) needs me"
muñeca,"doll, wrist"
muñecas,"wrists, dolls"
nos,"we, us, each other"
nos ayudan,(they) help us
nos compra,"(she) buys us, (he) buys us"
nos conocen,(they) know us
nos escuchan,(they) listen to us
nos llamas,(you) call us
nos visita,"(she) is visiting us, (he) visits us, (he) is visiting us"
te,"you, yourself"
te amo,(I) love you
te ayudo,do I help you
te compra,"(he) buys you, (she) buys you"
te conozco,(I) know you
te llamamos,(we) call you
te necesito,(I) need you
te visitan,(they) visit you
