abres la,you open the
acá,here
allá,"there, over there, past"
caja,box
cajas,boxes
cierro la,I close the
coges,"you're taking, (you) take, (?) can you take"
cuartos,"rooms, bedrooms"
césped,"lawn, grass"
demasiada,"too, too much"
demasiadas,"too, too much, too many"
demasiado,"too, too much, a bit too"
demasiados,"too, too much, too many"
eso,"it, that"
granja,farm
levántate,(you) get up
levántese,(you) get up
lávate,"wash, (you) wash, (you) wash up"
lávese,"wash, (you) wash"
mirando,"looking at, watching"
miro,"(I) look at, (I) am watching, (I) watch"
nos ayudas,(?) can you help us
pared,wall
paredes,walls
piso,"floor, ground"
pisos,floors
poca,"little, a few"
pocas,"few, little"
poco,"little, some, little bit"
pocos,few
seguras,"safe, sure"
seguro,"sure, safe"
seguros,"safe, self-confident, self-assured"
sentarse,"sat, (to) sit, (to) sit down"
siéntate,"(you) sit, (you) sit down"
siéntese,(you) sit down
toda,"all, whole, all of"
todo,"everything, all, whole"
traes,"(?) can you bring, (you) bring"
traigo,"(?) should I bring, (I) bring, bringing"
