ayudamos,"(we) help, (we) helped"
ayudaste,(you) helped
bailaron,(they) danced
bailaste,"dance, (you) danced, (?) did you dance"
bailé,(I) danced
bailó,(she) danced
cambiaron,(they) changed
comencé,"(I) started, (I) began"
comenzaron,(they) started
comenzó,"(?) did it begin, (he) started, (it) started"
comprender,"(to) understand, understand"
comprendieron,"(?) did you understand, understand, (you) understood"
comprendimos,"understand, (we) understood"
comprendiste,"(?) did you understand, understand, (you) understood"
comprendió,(she) understood
esperamos,"(we) hope, (we) are waiting, (we) waited"
esperaste,"(you) waited for, (?) did you wait, wait"
invitó,"(you) invited, (she) invited, invite"
llegaron,"(?) did you arrive, (they) arrived, (they) got"
llegué,"(I) arrived, (I) came, (I) was"
llegó,"(he) arrived, (he) was, (she) came"
mandaste,"(?) did you send, (you) sent"
mandé,(I) sent
mandó,"(he) sent, (she) sent, (you) sent"
miraste,"(you) saw, (?) did you look at, (?) did you see"
morir,(to) die
nosotros fuimos,we went
novecientos,"nine hundred, 900"
ochocientos,"eight hundred, 800"
pensaron,(they) thought
pensaste,"(?) did you think, (you) thought"
pensé,(I) thought
pensó,"(he) thought, (she) thought"
pintaron,(they) painted
pintaste,"(you) painted, (?) did you paint"
pinté,painted
practicaron,"(they) played, played"
practicaste,"play, (you) played, (?) did you play"
practicó,"(he) played, (she) played, (you) played"
practiqué,"play, (I) played, (I) practiced"
recordamos,"(we) remember, (we) remembered"
recuerda,"remember, (she) remembers"
recuerdo,"(I) remember, memory"
setecientos,"seven hundred, 700"
tú fuiste,you went
usaron,"(they) used, (they) wore"
usaste,"(you) wore, use, (you) used"
usé,"use, (I) used, (I) wore"
vivieron,(they) lived
vivió,"(?) did he live, (he) lived, (she) lived"
yo fui,I went
