gustan,"(?) do they like, (I) like, (we) like"
encantan,"(I) love, (we) love"
vinos,wines
bananas,bananas
ensaladas,salads
dulce,"sweet, candy"
chileno,Chilean
cubano,Cuban
italiano,Italian
ojos,eyes
flores,"flowers, Flores, flower"
caliente,"hot, warm"
francesa,French
pájaros,birds
interesan,"interest, (we) are interested"
latino,Latin
juego,"game, (I) play, games"
rápido,"fast, quickly, quick"
bailes,"dances, dancing"
sitio,"site, place, stand"
vaqueros,jeans
par,"pair, couple"
botas,boots
lentes,glasses
ambos,both
color,"colorful, color, coloring"
naranja,orange
