aprendiste,"(you) learned, (?) did you learn, learn"
aprendí,(I) learned
ayer,yesterday
bebiste,"drink, (you) drank, (?) did you drink"
bebí,"(I) drank, drink, (I) had"
comiste,"eat, (you) ate, (?) did you eat"
comí,"(I) ate, eat, (I) had"
conociste,"(you) met, (you) knew, (?) did you meet"
conocí,"(I) knew, knew, know"
estudiaste,"(?) did you study, (you) studied"
estudié,"(I) studied, study"
estuve,(I) was
estuviste,"(you) were, (you) stayed"
fui,"(I) went, (I) was, (I) left"
fuiste,"were, (you) were, (you) went"
hablaste,"(you) talked, (?) did you speak, (you) spoke"
hablé,"(I) spoke, (I) talked, talk"
hace mucho tiempo,a long time ago
pasada,last
pasadas,runs
pasado,"last, past, given"
pasados,"pasts, stoned, overripe"
probaste,"try, touch, (you) tried"
probé,"try, (I) tried"
viajaste,"(?) did you travel, travel, (you) traveled"
viaje,"trip, journey"
viajes,"travels, trips, (you) travel"
viajé,"(I) traveled, travel"
visitaste,"visit, (?) did you visit, (you) visited"
visité,(I) visited
viviste,"(?) did you live, live, lived"
viví,(I) lived
