me gusta,(I) like
chocolates,chocolates
chocolate,chocolate
pasteles,"cakes, cake"
pastel,cake
queso,cheese
quesos,cheeses
favoritas,favorite
favoritos,"favorite, favorites"
porque,"because, for"
azúcar,sugar
te gusta,"(you) like, (?) do you like"
ese,"that, the"
esa,"that, that one, those"
sombreros,"hats, hat"
sombrero,hat
faldas,skirts
falda,skirt
creo que,I think that
pero,but
algo,"something, anything, any"
jugar,"(to) play, playing, play"
correr,"run, (to) run, running"
me encanta,I'm lovin 'it
nadar,"swim, (to) swim, swimming"
te encanta,(?) do you love
piscinas,pools
piscina,pool
dibujar,"(to) draw, drawing, draw"
música,music
ropas,"clothes, clothing, wears"
ropa,"clothes, clothing"
bicicleta,"bicycle, bike"
bicicletas,"bicycles, bikes, bicycle"
chica,girl
chicos,"kids, boys, children"
chico,"boy, guy, kid"
chicas,girls
elegante,elegant
elegantes,elegant
viejos,old
vieja,"old, older"
viejas,old
viejo,"old, old man, oldest"
perros,"dogs, dog"
