cara,"face, expensive, faces"
caras,expensive
cepillarse,(to) brush
cepillo,"brush, hair"
cepillo de dientes,"toothbrush, toothbrushes"
cepillos,brushes
diente,tooth
dientes,teeth
lavarse,"wash, (to) wash, (to) wash itself"
llave,key
llaves,keys
mano,hand
manos,hands
me cepillo,(I) brush
me lavo,(I)  wash
mía,mine
mío,mine
nos cepillamos,"(we) are brushing, (we) brush"
nos duchamos,"(we) are showering, we shower"
nos lavamos,we wash
nos levantamos,"(we) got up, (?) are we getting up, (we) get up"
nos llamamos,our names are
nos ponemos,(we) put on
nos sentimos,we feel
nuestra,"our, ours"
nuestras,"our, ours"
nuestro,"our, ours"
nuestros,"our, ours"
se cepilla,"(she) brushes, (she) is brushing"
se cepillan,"(they) brush, (you) brush"
se duchan,"shower, (they) shower, (?) are they showering"
se lava,"(he) washes, (she) washes"
se lavan,"(you) wash, (they) wash themselves"
se levantan,"(?) do you get up, (they) get up"
se ponen,"(they) put on, (you) put on, (you) are putting on"
se sienten,"(?) do you feel, (they) feel"
suyas,"hers, theirs, his"
suyo,"yours, his, theirs"
te cepillas,you brush
