adónde,where
aviones,"planes, airplanes"
avión,"plane, airplane"
boletos,tickets
carros,cars
cuarto,"room, bedroom, quarter"
cámara,camera
cámaras,cameras
estar,"be, (to) be, (to) stay"
llega,"(?) does it arrive, (he) arrives, (it) arrives"
llegamos,"(we) arrived, (we) arrive, (?) do we arrive"
llegan,(they) arrive
llegar,"(to) arrive, (to) be, (to) get"
llegas,"(you) arrive, (?) do you arrive"
llego,"(?) do I get, (I) arrive"
maletas,"suitcases, bags"
menos,"less, minus, fewer"
minuto,minute
minutos,minutes
pasaportes,passports
por,"for, in, by"
pronto,soon
próxima,next
próximas,"next, closes, nears"
próximo,"next, nearest"
taxis,taxis
treinta,"30, thirty"
va a,will
vamos a,we are going to
van a,going to
vas a,you'll
veintinueve,"29, twenty-nine"
veintiocho,"28, twenty-eight"
veintisiete,"27, twenty-seven"
veintiséis,"26, twenty-six"
voy a,I will
