abriste,"start, bored, open"
abrí,"(I) opened, bored, get"
bebieron,"drink, (?) did you drink, (they) drank"
bebió,"(?) did you drink, (he) drank, (she) drank"
caminaste,"(?) did you walk, (you) walked, walk"
caminé,"(I) walked, walk"
cogimos,"got, get, made"
conocieron,"(?) did you meet, (they) met, meet"
conoció,"meet, (?) did they meet, (he) knew"
disfrutaron,"(?) did you enjoy, (you) enjoyed, enjoy"
disfrutaste,(?) did you enjoy
disfruté,(I) enjoyed
disfrutó,"(he) enjoyed, (it) enjoyed, (she) enjoyed"
escribiste,"(you) wrote, (?) did you write, write"
escribí,"(I) wrote, write"
hice,"(I) did, (I) made, (I) asked"
hicieron,"(?) did they do, (?) did you make, (they) asked"
hicimos,"made, (we) made, (?) did we do"
hiciste,"(you) did, (you) made, (?) did you do"
hizo,"(?) did he do, (he) asked, (he) made"
miramos,"look, (we) watched, (we) are looking"
saliste,"(?) did you leave, (you) went out, (?) did you go out"
salí,"(I) went out, (I) left"
viajaron,"(?) did you travel, (they) traveled, travel"
viajó,"(?) did you travel, (she) traveled, travel"
visitaron,"(?) did you visit, visit, (they) visited"
visitó,"(she) visited, (?) did you visit, visit"
