los,"the, them, her"
las,"the, his, my"
trabajos,jobs
trabajo,"(I) work, job, jobs"
jefa,boss
jefas,bosses
jefe,boss
jefes,bosses
mensajes,"messages, texts"
mensaje,"message, text"
secretarias,secretaries
secretaria,secretary
escritorio,desk
escritorios,desks
aquí,"here, this way"
escribir,"write, (to) write, writing"
escribo,"(I) write, (I) am writing"
escribes,"(you) write, (?) are you writing, (?) do you write"
escribe,"(?) are you writing, (?) do you write, (?) does she write"
mucho,"a lot, a lot of, much"
para,"for, to, (he) stops"
tener,"have, (to) have, get"
cartas,"letters, cards"
carta,letter
cuál,"what, which, which one"
poco,"little, some, little bit"
problemas,"problems, problem"
problema,"problem, matter, problems"
correo electrónico,"email, email address"
nueva,new
nuevo,new
leer,"(to) read, reading"
negocios,"business, businesses"
negocio,business
leo,"(I) read, (I) am reading"
lees,"(you) read, (?) do you read, (you) are reading"
ahora,now
lee,"(he) reads, (she) is reading, (she) reads"
