probar,"(to) try, touch, try"
almorzar,"lunch, (to) have lunch, (to) eat lunch"
pruebo,"touch, (I) try"
prueba,"test, quiz, (?) are you trying on"
probamos,"(we) try, (we) are trying"
almorzamos,"(we) have lunch, (we) are having lunch, (we) eat lunch"
almuerzas,"lunch, (?) are you having lunch, (?) do you have lunch"
almuerzan,"(?) do they eat lunch, (they) eat lunch, (you) have lunch"
prueban,"(they) are trying, (they) try, touch"
poder,"power, can, (to) be able to"
volver,"(to) return, (to) come back, (to) go back"
puedo,"(I) can, (?) can I, (?) may I"
vuelves,"(you) come back, (you) return, (?) do you come back"
puede,"(?) can you, (?) could you, (I) may"
volvemos,"(we) return, (we) are coming, (we) go"
pueden,"(they) can, (you) can, (you) could"
podemos,"(we) can, (?) can we"
vuelven,"(?) are you going back, (they) are going back, (they) come back"
cerrar,"close, (to) close, (to) shut"
empezar,"(to) start, (to) begin, start"
empiezo,"start, (I) start, (I) am starting"
empieza,"starts, (?) does it start, (it) begins"
cierras,"(you) are closing, (?) do you close, (?) can you close"
empezamos,"start, (we) started, (we) start"
cierran,"(they) close, (you) are closing"
cerramos,"(we) closed, (we) lock, (we) are closing"
empiezan,"starts, (they) are starting, (they) start"
entender,"(to) understand, made, understand"
perder,"(to) lose, (to) miss, failed"
entiendo,"(I) understand, (I) can understand"
pierdes,(you) lose
entiende,"(?) do you understand, (he) understands, understand"
perdemos,"(we) lose, (we) miss"
entienden,"(?) do you understand, (they) understand"
entendemos,(we) understand
pierden,"(they) are losing, (they) lose"
tocaron,"touch, (they) played, (?) did they play"
lavar,(to) wash
limpiar,"clean, (to) clean, cleaned"
tazón,"bowl, mug"
copa,"drink, glass, cup"
aprobar,"(to) pass, get, pass"
leíste,"read, (you) read"
leímos,"read, (we) read"
leyó,"(they) read, (he) read"
leyeron,"read, (they/you-plural) read"
dormir,"(to) sleep, sleeping"
varias,"several, many, various"
historia,"history, story"
química,"chemistry, chemical"
ganar,"win, (to) win, (to) earn"
libro de texto,"text, textbook"
cuaderno,notebook
equipo,team
carrera,"career, race, degree"
corredor,"runner, hall"
tomé,"(I) took, (I) had, take"
kilómetros,"kilometers, kilometer"
balonmano,handball
gana,"(?) does he earn, (he) earns, (he) wins"
océano,ocean
pescar,"fishing, (to) catch, (to) fish"
disfrutar,"enjoy, (to) enjoy"
mercado,"market, markets"
manejar,"(to) drive, driving"
entrar,"(to) enter, (to) come in, (to) go into"
tambor,drum
video,video
limonada,lemonade
reparar,"(to) repair, repaired"
dibujar,"(to) draw, drawing, draw"
miraba,"(I) was watching, (I) watched, (she) would watch"
entró,"(he) came into, (she) went into"
ciencias,"science, sciences"
diario,"newspaper, daily, diary"
usar,"(to) use, wear, (to) wear"
tío,uncle
cafetería,"cafeteria, cafe, café"
rata,rat
cocinar,"cook, (to) cook, cooking"
desayunar,"(to) eat breakfast, (to) have breakfast"
tía,aunt
monos,monkeys
rugby,rugby
asar,(to) roast
carretera,"road, highway"
tomar,"take, (to) take, (to) drink"
cuidar,"(to) look after, (to) take care, (to) take care of"
estudiar,"study, (to) study, studying"
gustar,"like, (to) like"
geografía,geography
