alfombras,carpets
apaga,"(she) turns off, (you) turn off"
apagada,turned off
apagadas,off
apagado,off
apagados,off
apagar,"(to) turn off, turn"
apagas,(you) turn off
apagaste,"(?) did you turn off, (you) turned off"
apagó,(he) turned off
cafetera,coffee maker
creo que debería,I think I should
creo que deberías,I think you should
cómoda,"comfortable, dresser"
cómodas,"comfortable, dressers"
dormida,asleep
dormidas,asleep
dormido,"fallen asleep, slept, asleep"
dormidos,asleep
dormir,"(to) sleep, sleeping"
encendemos,(we) turn on
encender,(to) turn on
encendida,"turned on, on"
encendidas,on
encendido,"turned on, on, open"
encendidos,on
encendieron,"start, (they) turned on"
encendí,(I) turned on
espejo,mirror
espejos,"models, mirrors"
estufas,stoves
lavadora,washing machine
lavadoras,washing machines
luces,lights
luz,light
lámpara,lamp
lámparas,lamps
muebles,furniture
perder,"(to) lose, (to) miss, failed"
perdida,"lost, missing"
perdidas,"lost, missing"
perdido,"lost, missing"
pintada,painted
pintadas,painted
pintado,painted
pintados,painted
pintar,"painting, (to) paint"
portátil,laptop
portátiles,laptops
sillones,armchairs
sillón,armchair
sofá,"sofa, couch"
televisor,"television, TV, television set"
televisores,televisions
