acostar+prpers,(I) will go to bed
acostarme,"(to) go to bed, (to) lie down, going to bed"
acostarse,"(to) go to bed, (to) lie down"
acostarte,"(to) go to bed, going to bed, (you) lie down"
ajedrez,chess
allí,"there, in there"
cansadísimo,really tired
cuando,"when, whenever, as"
de vez en cuando,"once in a while, sometimes, now and then"
dificilísimo,really difficult
encantaron,(?) did you love
encantó,"(?) did you love, (I) loved"
fantástica,fantastic
fantásticas,fantastic
fantástico,"fantastic, great"
fantásticos,fantastic
frecuentemente,"often, frequently"
generalmente,"generally, usually"
gimnasios,gyms
golf,golf
grandísimo,really big
gustaron,"(I) like, (I) liked, (they) like"
me acuesto,(I) go to bed
morada,purple
morado,purple
nos acostamos,we lay down
odia,"(?) does he hate, (he) hates, (she) hates"
odiar,"(to) hate, (to) pester, (to) hassle"
odiaron,(they) hated
odiaste,(?) did you hate
odio,"(I) hate, hate"
preferimos,"(we) preferred, (we) prefer"
preferir,"(to) prefer, prefer, preferring"
prefieren,"(they) prefer, (?) do you prefer"
se acuesta,(he) goes to bed
se acuestan,they lie down
te acuestas,"(you) go to bed, (you) are going to bed, (you) lie down"
tomar,"take, (to) take, (to) drink"
un poco,somewhat
