me,"with me, at me, me"
te,"you, yourself"
nos,"we, us, each other"
me compra,"(he) buys me, (she) buys me, (he) is buying me"
nos compra,"(she) buys us, (he) buys us"
muñeca,"doll, wrist"
muñecas,"wrists, dolls"
te compra,"(he) buys you, (she) buys you"
te conozco,(I) know you
me conoce,"(she) knows me, (he) knows me, (you) know me"
nos conocen,(they) know us
te visitan,(they) visit you
nos visita,"(she) is visiting us, (he) visits us, (he) is visiting us"
me necesita,"(she) needs me, (he) needs me"
me escucha,"(she) listens to me, (you) listen to me, (he) listens to me"
te necesito,(I) need you
me llaman,(they) call me
te llamamos,(we) call you
nos escuchan,(they) listen to us
nos llamas,(you) call us
te amo,(I) love you
me ama,(she) loves me
te ayudo,do I help you
me ayudas,"(?) can you help me, (you) help me"
nos ayudan,(they) help us
cursos,courses
curso,"course, class, grade"
me enseña,"(he) is teaching me, (she) is teaching me, (he) teaches me"
idioma,language
idiomas,"languages, language"
alemana,German
alemán,German
