conocer,"meet, (to) meet, (to) get to know"
Alemania,Germany
maestros,teachers
maestras,teachers
conocemos,"(we) know, (we) have known, we're familiar with"
conoce,"(?) are you familiar with, (?) do you know, (?) does she know"
conoces,"(you) know, (?) are you familiar with, (?) do you know"
conocen,"(?) do you know, (they) are familiar with, (they) know"
médicos,doctors
médicas,doctors
país,country
países,countries
conozco,"(I) know, (?) do I know, (I) am familiar with"
visitar,"visit, (to) visit, visiting"
visitamos,"(we) visit, (we) visited"
visita,"visit, (he) is visiting, (he) visits"
visitas,"visits, (?) are you visiting, (you) visit"
visitan,"(they) visit, (?) do they visit, (they) are visiting"
visito,(I) visit
parte,"part, some"
partes,parts
pueblos,towns
gente,people
lugar,place
lugares,places
diferentes,different
diferente,different
llamar,"call, (to) call, calling"
llamo,(I) call
llaman,(they) call
llamas,"(you) call, (?) are you calling, (?) do you call"
llamamos,"(we) called, (we) call"
llama,"(he) calls, (you) call"
ayudar,"help, (to) help"
ayudas,"(you) help, (?) do you help"
ayudan,(they) help
ayuda,"help, (he) helps, (he) is helping"
ayudo,"(?) should I help, (I) am helping, (?) can I help"
ayudamos,"(we) help, (we) helped"
algunas,"any, a few, some"
algunos,"some, a few"
usualmente,"usually, normally"
niñas,"girls, children"
niños,"children, boys, kids"
ver,"(to) see, (to) look, (to) watch"
veo,"(I) see, (I) watch"
ven,"(they) are seeing, (they) see, (they) watch"
ves,"(?) are you seeing, (?) do you see, (?) do you watch"
ve,"(he) watches, (she) sees, (you) go"
vemos,"(we) see, (we) are seeing, (we) watch"
tele,"television, tv"
enseñar,"teaching, (to) teach, taught"
enseñas,"(?) are you teaching, (?) do you teach, (you) teach"
enseño,"(I) am teaching, (I) teach, (I) show"
enseñamos,"(we) are teaching, (we) taught, (we) teach"
enseñan,"(they) are teaching, (they) teach, taught"
enseña,"(she) is teaching, (he) teaches"
amar,"love, (to) love"
ama,"(he) loves, (she) loves, love"
amas,"(you) love, (?) do you love"
amo,(I) love
aman,(they) love
amamos,"(we) love, loved"
