aceite,oil
aceites,oils
alcohol,alcohol
algo más,anything else
asada,"grilled, roasted"
asado,"roast, grilled, baked"
buen provecho,bon appétit
cenan,(you) eat dinner
cenaron,(?) did you eat dinner
cenas,(?) do you eat dinner
cenó,(he) had dinner
champanes,champagnes
champán,champagne
chef,chef
cocinar,"cook, (to) cook, cooking"
cocinaste,"(you) cooked, (?) did you cook"
desayunamos,"(we) have breakfast, (we) eat breakfast"
desayunan,(?) do you eat breakfast
desayuno,"breakfast, (I) eat breakfast"
desayunó,"breakfast, (he) ate breakfast"
especial del día,day's special
estupenda,"marvelous, great, wonderful"
estupendas,wonderful
estupendo,"great, marvelous, wonderful"
estupendos,wonderful
excelente,"excellent, fine, great"
excelentes,excellent
extra,extra
extras,"options, extra"
hielo,ice
llenas,"full, (you) fill, (you) fill out"
me puede traer,Can you bring me
panes,bread
pedimos,"(we) ordered, (we) asked, (we) ask"
pedir,"ask, (to) ask for, (to) make"
pide,"(he) is ordering, (he) orders, (she) asks for"
piden,(they) order
probaron,(?) did you try
saludable,healthy
saludables,healthy
servimos,"(we) function, (we) served, (?) should we serve"
servir,"(to) serve, (to) be useful, serve"
sirve,"(?) are you serving, (he) is serving, (it) serves"
sirves,(?) do you serve
sirvo,(?) should I serve
traemos,"(we) are up to, get, (we) bring"
vegetariana,vegetarian
vegetariano,vegetarian
vegetarianos,"vegetarian, vegetarians"
