más,"more, most, above"
menos,"less, minus, fewer"
que,"to, that, than"
blusa,blouse
blusas,blouses
cómodos,comfortable
cómodas,"comfortable, dressers"
cómodo,"comfortable, comfy, convenient"
cómoda,"comfortable, dresser"
gorra,"cap, hat"
gorras,"hats, caps"
chaqueta,jacket
chaquetas,jackets
tan,"so, as, that"
como,"(I) eat, as, (I) am eating"
bellas,"beautiful, lovely, pretty"
bella,"beautiful, pretty"
bello,"beautiful, pretty"
bajos,"short, low"
bajas,"short, low"
famoso,famous
famosa,famous
famosas,famous
famosos,famous
mejores,"best, better"
mejor,"better, best, instead"
peor,"worse, worst"
peores,worse
delgado,thin
delgada,thin
delgados,thin
gordo,fat
el más,the most
la más,the most
el peor,the worst one
el mejor,the best
mundo,world
mundos,worlds
tan bonito,so pretty
qué elegante,how elegant
qué interesante,interesting
es tan,is it so
qué divertido,What fun
tan bonita,so pretty
populares,popular
popular,popular
