abrirla,(to) open it
abrirlo,(to) open it
abrirlos,(to) open them
beberla,(to) drink it
beberlas,(to) drink them
beberlo,(to) drink it
beberlos,(to) drink them
cebolla,onion
cebollas,onions
champiñones,mushrooms
comerla,(to) eat it
comerlas,(to) eat them
comerlo,(to) eat it
comerlos,(to) eat them
comprar,"buy, (to) buy, (to) get"
comprarlas,(to) buy them
comprarlo,(to) buy it
comprarlos,(to) buy them
en oferta,in offer
gastar,"(to) spend, spend"
jamones,hams
jamón,ham
kilogramo,kilogram
lata,can
lavarlas,(to) wash them
lavarlo,(to) wash it
lavarlos,(to) wash them
limón,lemon
lista,"list, ready, smart"
listas,ready
litro,"liter, liters"
necesitar,"need, (to) need, needed"
necesitarla,(to) need it
necesitarlas,(to) need them
necesitarlo,(to) need it
necesitarlos,(to) need them
pedirla,(to) order it
pedirlas,(to) order them
pedirlo,(to) order it
pera,pear
peras,pears
pimienta,pepper
prepararla,(to) prepare it
prepararlo,(to) prepare it
prepararlos,(to) prepare them
variedad,variety
variedades,variety
y medio,and a half
yogur,yogurt
yogures,"yogurt, yogurts"
