saber,"know, (to) know, hear"
sabemos,"know, (we) know, (we) know how to"
saben,"(?) do you know, (?) do you know how to, (they) know"
sabe,"know, (?) does he know, (he) knows"
sabes,"(you) know, (?) do you know, (?) do you know how to"
sé,"(I) know, (I) know how to, (you) be"
edad,age
edades,ages
palabra,word
palabras,words
respuesta,"answer, response"
respuestas,"answers, answer"
sé cuándo,I know when
cómo se escribe,(?) how do you write
sabemos dónde,we know where
cómo se dice,(?) how do you say
no lo sé,"I don't know, I do not know"
sabes quién,(?) do you know who
sabes cuándo,(?) do you know when
sabe usted,(?) do you know
cocinar,"cook, (to) cook, cooking"
cocinamos,"(we) cook, (we) cooked"
cocinan,(they) cook
cocinas,"(you) cook, kitchens"
cocina,"kitchen, (he) is cooking, (she) cooks"
cocino,(I) cook
nada,"nothing, anything, (he) swims"
nadan,"swim, (they) are swimming"
nado,(I) swim
nadas,(you) swim
nadamos,"(we) swim, (we) swam"
manejar,"(to) drive, driving"
manejas,"(?) do you drive, sail"
maneja,"(he) is driving, (she) drives"
manejo,(I) drive
manejamos,"(we) are driving, (we) drive"
manejan,"sail, (they) drive"
sabes nadar,(you) know how to swim
carnes,meats
cantas,(?) do you sing
canta,"(he) sings, (she) sings"
cantan,(you) sing
cantamos,"(we) sing, (we) sang"
canto,"(I) sing, singing"
china,"China, chinese"
chinos,"curly-haired person, curly hair, curler"
chino,Chinese
lengua,language
lenguas,languages
cantar,"singing, (to) sing, sing"
mismos,same
mismo,same
misma,same
mismas,same
japonés,Japanese
japonesa,Japanese
canción,song
canciones,songs
