almorzar,"lunch, (to) have lunch, (to) eat lunch"
almorzaron,"(they) had lunch, (they) ate lunch"
almorzaste,(?) did you eat lunch
aprobamos,(we) passed
aprobar,"(to) pass, get, pass"
aprobaron,pass
aprobaste,"(?) did you pass, pass"
aprobé,pass
balonmano,handball
carreras,"races, careers, cart driver"
copa,"drink, glass, cup"
corredora,runner
corredoras,runners
corredores,runners
cuaderno,notebook
dormí,"slept, sleep, (I) slept"
entendimos,"got, get, followed"
entendiste,"(?) did you understand, understand, (you) understood"
equipo,team
equipos,"equipment, teams"
gana,"(?) does he earn, (he) earns, (he) wins"
ganar,"win, (to) win, (to) earn"
ganas,(you) win
ganaste,"won, (you) won, (you) gained"
historia,"history, story"
kilómetro,kilometer
kilómetros,"kilometers, kilometer"
lavamos,"(we) washed, (we) are washing, (we) wash"
lavar,(to) wash
lavaste,"wash, (?) did you wash, clean"
lavé,"wash, (he) washed"
leyeron,"read, (they/you-plural) read"
leyó,"(they) read, (he) read"
leímos,"read, (we) read"
leíste,"read, (you) read"
libro de texto,"text, textbook"
libros de texto,textbooks
limpiar,"clean, (to) clean, cleaned"
limpiaste,"(?) did you clean, clean"
limpié,"(I) cleaned, cleaned"
química,"chemistry, chemical"
tazón,"bowl, mug"
tocamos,"(we) touch, (we) are touching, (we) play"
tocar,"(to) play, playing, (to) touch"
tocó,"(he) played, (she) played"
tomamos,"(we) have, (we) take, (?) are we taking"
tomaron,"(?) did you drink, (they) had, (they) took"
tomaste,"take, (?) did you drink, (you) ate"
tomé,"(I) took, (I) had, take"
tomó,"(?) did it take, (he) took, (it) took"
varias,"several, many, various"
varios,"many, various, assorted"
