cajones,drawers
cajón,"drawer, box, case"
casada,married
casado,married
enfadadas,"angry, mad"
enfadado,"angry, mad"
enfadados,"angry, mad"
estaba,"(?) was he, (he) was, (it) was"
estaban,"(they) were, was"
estabas,(you) were
estar,"be, (to) be, (to) stay"
estábamos,(we) were
excepto,except
fresca,fresh
frescas,fresh
frescos,fresh
gafas de sol,sunglasses
interesadas,interested
interesado,interested
interesados,interested
invitada,"invited, guest"
invitado,"invited, guest"
invitados,"guests, invited"
loco,crazy
locos,"crazy, mad"
mangos,"mangos, mangoes"
mojada,wet
mojadas,wet
mojado,wet
mojados,wet
motor,engine
motores,"motors, driving force, engines"
nietas,granddaughters
nieto,"grandson, grandchild"
paraguas,"umbrella, umbrellas"
probablemente,probably
romper,(to) break
rompieron,(they) broke
rompiste,(?) did you break
rompí,(I) broke
rota,broken
rotas,broken
roto,broken
satisfecha,satisfied
satisfechas,"satisfied, pleased"
satisfecho,"pleased, satisfied"
satisfechos,"satisfied, pleased"
secas,dry
secos,dry
sin duda,"certainly, definitely, surely"
soleada,sunny
soleadas,sunny
soleados,sunny
traje de baño,"swimsuit, bathing suit, swimsuits"
trajes de baño,"bathing suits, swimsuits"
vecina,"neighbor, inhabitant, nearby"
vecinas,neighbors
vecinos,neighbors
