acompañaba,"(I) used to go with, (he) used to go with, (?) did he use to go with"
acompañaban,(they) used to go with
almorzaban,(they) used to eat lunch
almorzabas,(you) used to eat lunch
almorzar,"lunch, (to) have lunch, (to) eat lunch"
almorzábamos,(we) used to eat lunch
caminaba,"(I) used to walk, (he) walked, (he) was walking"
caminaban,"(they) used to walk, (they) were walking"
caminábamos,"(we) used to walk, (we) walked, (we) were walking"
compraba,"(he) was buying, (she) bought, (I) used to buy"
compraban,"got, (they) used to buy, (they) were shopping"
comprabas,"got, (?) did you use to buy"
comprábamos,"got, (we) used to buy"
conversaba,"(I) used to talk, (he) used to talk"
conversaban,"(they) used to talk, (?) did you use to talk"
correr,"run, (to) run, running"
corría,"(she) used to go running, (I) used to go running, (I) used to run"
corríamos,"(we) used to run, flew"
corrían,"(they) were running, (they) used to go running, (they) used to run"
corrías,(?) did you use to run
cuidaba,"(I) took care, (she) took care, (I) used to take care"
cuidabas,(you) used to take care
cuidar,"(to) look after, (to) take care, (to) take care of"
descansaba,"(I) used to rest, (he) was resting, (he) used to rest"
descansaban,"(they) were resting, (they) used to rest"
descansábamos,(we) used to rest
dibujos animados,"cartoon, cartoons"
dormir,"(to) sleep, sleeping"
dormíamos,(we) used to sleep
dormías,(?) did you use to sleep
dulces,"sweets, candy, candies"
escribía,"(he) used to write, (I) used to write"
escribían,(they) used to write
escribías,(?) did you use to write
estudiaban,"(they) studied, (they) used to study"
estudiar,"study, (to) study, studying"
estudiábamos,"read, (we) used to study"
ganar,"win, (to) win, (to) earn"
geografía,geography
gustaba,"(?) did you use to like, (I) used to like, (he) used to like"
gustaban,"(?) did you use to like, (I) used to like, liked"
gustar,"like, (to) like"
iba,"(I) used to go, (I) was going, (I) was leaving"
iban,"(?) did you use to go, (they) used to go, (they) went"
ibas,"(you) were going to, (?) did you use to go"
lavaba,"(he) used to wash, (she) used to wash, (I) used to wash"
lavábamos,"(we) used to wash, cleaned"
limpiaban,"(they) used to clean, (they) were cleaning"
limpiabas,(?) did you use to clean
limpiábamos,"(we) used to clean, cleaned"
mecánica,"mechanic, mechanics"
mecánicas,mechanics
mecánico,mechanic
mecánicos,"mechanics, mechanical"
patio de juego,playground
patios de juego,playgrounds
recibir,"(to) receive, (to) get, take"
recibía,"got, received, (I) used to receive"
recibían,"(they) used to receive, got, received"
refresco,"soda, pop"
refrescos,"soda, sodas"
tomaban,"got, (?)did you use to drink"
tomabas,"(you) occupied, (you) were having, (you) used to take"
tomar,"take, (to) take, (to) drink"
tomábamos,"got, (we) used to drink"
trabajabas,(?) did you use to work
trabajando,working
íbamos,"(we) went out, (we) used to go, (we) were going"
