cuántos años,how old
veintiún,"21, twenty-one"
veintiuno,"21, twenty-one, twenty first"
veintidós,"22, twenty-second, twenty-two"
jóvenes,"young, young people, young women"
señoritas,"young ladies, ladies, girls"
adulto,adult
adultos,"adults, adult"
veintitrés,"23, twenty-three, twenty-third"
veinticuatro,"24, twenty-four, twenty-fourth"
jugos,"juices, juice"
veinticinco,"twenty-five, 25, twenty-fifth"
sed,"thirsty, thirst"
pizza,pizza
pizzas,pizzas
hambre,"hungry, hunger"
calor,"hot, heat"
frío,"cold, cold weather"
abrigo,coat
abrigos,coats
puesto,"put, (I) have on, (she) has on"
largos,long
largo,long
largas,"long, start"
larga,"long, start, starts"
marrón,brown
marrones,brown
gris,"gray, grey"
grises,"gray, grey"
sueño,"dream, sleepy, tired"
ganas,(you) win
miedo,"fear, afraid, scared"
de verdad,"real, really, for real"
bailar,"dancing, (to) dance, dance"
baila,"(he) dances, (you) dance"
bailas,(you) dance
bailan,"(they) dance, (they) are dancing"
bailamos,"(we) dance, (we) danced"
bailo,(I) dance
animales,animals
animal,animal
