avanzada,advanced
avanzado,advanced
calendario,calendar
calendarios,calendars
claramente,clearly
compañera,"pair, partner"
compañeras,"classmates, coworkers"
compañero,"classmate, coworker"
compañeros,"classmates, coworkers"
consejo,advice
consejos,advice
dar,"give, (to) give, (to) have"
darle,"(to) give him, give"
darme,(to) give me
darte,give you
decirles,"(to) tell them, tell"
decirme,(to) tell me
decirnos,"(to) think (us), (to) say (us), (to) say to each other (us)"
detalle,"detail!, (I/he/she/it/you) detail, (I/he/she/it/you) go into detail"
detalles,details
diferencia,"difference, tell the difference between!, (you-formal) tell the difference between"
diferencias,"differences, (you) tell the difference between, (you) differentiate between"
estuche,"case, box, pencil case"
explica,"(he/she/it) explains, (he/she/it) understands, (you-formal) explain"
explicando,explaining
explicar,"(to) explain, explain, explaining"
explicaron,(they) explained
explicas,"(?) can you explain, explain"
explicó,"(he) explained, (she) explained, explain"
expliqué,"(I) explained, (I) understood, explain"
libro de ejercicios,workbook
libros de ejercicios,workbooks
mochila,backpack
mochilas,backpacks
nivel,"level, floor"
niveles,"(you) level, (you) get … level, (you) grade"
regla,"ruler, rule, period"
reglas,"rules, periods, rulers"
te,"you, yourself"
