acompañar,(to) go with
acompañas,(you) go with us
acompaño,"see, (I) go with you, walk"
acompañó,"(he) went with me, walk"
baila,"(he) dances, (you) dance"
bar,bar
bares,bars
centro,"downtown, center"
centros,"centers, facilities"
conversamos,"(we) talk, (we) talked"
conversar,"(to) talk, (to) chat, talk"
conversaron,(they) talked
conversaste,"(you) talked, (?) did you talk, talk"
converso,(I) talk
conversé,(I) talked
conversó,"(he) talked, (she) talked"
cómo le va,how are you
cómo te va,how's it going
donde,"where, when, because"
invitaciones,invitations
invitación,"invitation, invite"
llamamos,"(we) called, (we) call"
llamar,"call, (to) call, calling"
llamaron,"(?) did they call, (they) called, (they) telephoned"
llamaste,"(?) did you call, (you) called"
llamé,"(I) called, call"
llamó,"(?) did he call, (he) called, (she) called"
llega,"(?) does it arrive, (he) arrives, (it) arrives"
llegue,"(he) arrives, (he) gets, (you) arrive"
medianoche,midnight
mediodía,noon
mira,"looks, (he) looks at, (she) watches"
oye,"hey, (you) hear"
parece,"looks, (?) what about, (it) seems"
parrilla,grill
patio,"backyard, patio, yard"
patios,playgrounds
pena,shame
quiénes,"who, who all, whom"
qué le parece,(?) what do you think
qué te parece,"What do you think, (?) How does it sound"
sorpresa,"surprise, favor"
ven,"(they) are seeing, (they) see, (they) watch"
