artista,"artist, actor, actress"
artistas,"artists, actors, actresses"
ayudaba,"(I) was helping, (she) was helping"
ayudaban,(they) were helping
ayudabas,(?) were you helping
ayudábamos,(we) were helping
bailaba,"(she) was dancing, (he) was dancing, (I) was dancing"
bailaban,(they) were dancing
bailabas,(you) were dancing
bailar,"dancing, (to) dance, dance"
bailarina,"dancer, ballerina"
bailarinas,ballerinas
bailarín,dancer
bailábamos,(we) were dancing
campo,"field, country, countryside"
campos,fields
castillo,castle
cenaba,(she) was eating dinner
cenaban,(we) were eating dinner
cenábamos,(we) were eating dinner
guerra,war
guerras,war
hablaba,"(he) spoke, (he) talked, (he) was talking"
hablar,"talk, (to) talk, (to) speak"
hablábamos,"(we) spoke, (we) used to talk, (we) talked"
había una vez,once upon a time
hasta,"until, to, even"
intenta,"Try, try, try to!"
intentaba,"(she) was trying, (I) was trying"
intentaban,(they) were trying
intentabas,(?) were you trying
intentar,"(to) try, try"
intentábamos,"(we) used to try to, (we) tried to, (we) were trying to"
lentamente,"slowly, slow"
lloraba,"cry, (he) was crying"
lloraban,(they) were crying
llorabas,"(you) were crying, (?) were you crying"
llorar,"(to) cry, crying"
mar,sea
mares,seas
montaña,mountain
montañas,mountains
oveja,sheep
ovejas,sheep
reina,queen
reinas,queens
rey,king
reyes,kings
rezaba,"(she) was praying, (he) was praying"
rezaban,(they) were praying
rezabas,(you) were praying
rezar,(to) pray
rezábamos,(we) were praying
salones,hall
salón,hall
sola,"alone, by herself, by itself"
solas,"alone, blacks, neat"
solo,"only, alone, just"
solos,"alone, by themselves, black coffee"
sortija,ring
sortijas,rings
tocaba,"(I) was playing, (he) played, (he) used to play"
tocaban,(they) were playing
tocabas,"(?) were you playing, (you) were playing, played"
tocar,"(to) play, playing, (to) touch"
tocábamos,"(we) were playing, played"
violines,violins
violín,violin
