año nuevo,New Year's
comía,"(?) did she use to eat, (I) ate, (I) used to eat"
comíamos,"(we) used to eat, eating, (we) were eating"
comían,"(?) did you use to eat, (they) used to eat, (they) were eating"
durante,"during, for, in"
día de acción de gracias,Thanksgiving Day
eran,"(it) was, (they) were"
especial,special
especiales,special
iglesia,church
iglesias,churches
jugaba,"(he) used to play, (I) played, (I) used to play"
jugaban,"(they) used to play, (they) were playing, (?) did you use to play"
jugábamos,"(we) played, (we) were playing, (we) used to play"
navidad,Christmas
nochebuena,Christmas Eve
nochevieja,New Years Eve
tarjeta,card
tenía,"(?) did she have, (I) used to have, (he) had"
teníamos,"(we) had, (we) used to have, had"
tenían,"(?) did you use to have, (they) had, (they) used to have"
tradiciones,traditions
tradición,tradition
visitaba,"(she) used to visit, (he) used to visit"
visitaban,"(they) used to visit, (they) were visiting, (?) did you use to visit"
vivía,"(I) used to live, (he) used to live, (she) lived"
vivíamos,"(we) used to be alive, (we) lived, stayed"
vivían,"(?) did they use to live, (?) did they live, (?) did you use to live"
éramos,"were, (we) were, (we) were being"
