adentro,"inside, in"
afuera,"outside, out"
carpeta,folder
carpetas,folders
cocinera,cook
cocinero,cook
cocineros,cooks
compañía,company
compañías,"companies, business, businesses"
completando,completing
completaron,(they) completed
completaste,(?) did you complete
diciendo,"saying, telling"
director,director
directoras,directors
durmiendo,"sleeping, falling asleep"
edificio,building
edificios,buildings
empresaria,businesswoman
empresarias,"entrepreneurs, businesswomen"
empresario,businessman
empresarios,"businessmen, businesspeople"
gerente,manager
gerentes,managers
horario,schedule
llamada,call
llamadas,calls
muriendo,dying
oyendo,"hearing, getting, listening"
pedir,"ask, (to) ask for, (to) make"
pidiendo,"asking for, asking"
pintor,"painter, artist"
pintora,painter
pintoras,painters
pintores,painters
presidenta,president
presidentas,president
presidente,president
presidentes,presidents
programa,"program, show, software"
programas,"programs, (you) draw up a program for, (you) timetable"
repetir,(to) repeat
repitiendo,repeating
trabajadora,"hard-working, worker"
trabajadoras,workers
trabajadores,workers
trayendo,"bringing, getting"
yendo,"going, leaving"
