ayudo a,helped
aprendiendo a,learning to
salir a,go to
enseña a,teach to
empezamos a,we started to
cenar,"dinner, (to) eat dinner, (to) have dinner"
volar,"(to) fly, fly, flying"
desayunar,"(to) eat breakfast, (to) have breakfast"
recordar,"remember, (to) remember, remembering"
papeles,papers
papel,"paper, role"
encontrar,(to) find
entradas,"entrances, gates, tickets"
entrada,"entrance, ticket, gate"
taza,"cup, mug, bowl"
tazas,"cups, mugs, bowls"
librería,"bookstore, bookshop, library"
levantarme,"(to) get up, getting up"
ducharte,"shower, (to) shower"
lavarnos,"wash, (to) wash"
levantarte,(you) get up
orejas,ears
pies,feet
pie,pie
probarse,(to) try on
ponerme,"put, (to) put on, (to) wear"
probarte,(to) try on
quedarnos,"stay, (to) stay, staying"
ponerte,"put, (to) put on, putting on"
quedarme,(to) stay
aldea,"village, town"
esperar,"(to) wait, (to) hope, wait"
