anillo,ring
anillos,bands
apagaba,"(she) turned off, killed, used to go out"
apagaban,"cut, killed, (they) used to turn off"
apagar,"(to) turn off, turn"
apagábamos,(we) turned off
atractivo,attractive
atractivos,attractive
beberemos,"drink, (we) will drink"
beberá,"(he/she/it/you-formal) will drink, drink"
beberán,"drink, (they/you-plural) will drink"
beberás,"drink, (you) will drink"
beberé,"drink, (I) will drink"
bebía,"(I/he/she/it/you) was/were drinking, (I/he/she/it/you) used to drink, (I/he/she/it/you) drank"
bebíamos,"(we) were drinking, (we) used to drink, (we) drank"
bebían,"(they/you-plural) were drinking, (they/you-plural) used to drink, (they/you-plural) drank"
bebías,"(you) were drinking, was drinking, (you) drank"
cantaba,"performed, (I) was singing, gave"
cantabas,(?) were you singing
conducir,"(to) drive, (to) ride, driving"
doble,"twice, double!, (I/he/she/it/you) double"
dorada,"golden, browned, gilt/gilded"
doradas,"golden, gold"
dorado,"golden, gold"
encendía,"(I) used to turn on, (she) turned on"
encendíamos,(we) used to turn on
encendían,(they) used to turn on
encendías,(?) did you turn on
entraba,"(I/he/she/it/you) went in, (I/he/she/it/you) came in, (I/he/she/it/you) used to begin"
entrábamos,(we) were going into
enviamos,(we) sent
enviar,"(to) send, getting, send"
envié,(I) sent
escuchábamos,(we) listened
esperaba,"(I/he/she/it/you) was/were waiting for, (I/he/she/it/you) was/were waiting, (I/he/she/it/you) was/were expecting"
esquiaba,(she) was skiing
esquiaban,(they) were skiing
esquiábamos,(we) were skiing
fuerte,"strong, bad, hard"
fumaba,"(he) smoked, (he) used to smoke"
fumó,smoke
gastamos,(we) spent
gastaste,"(you) spent, use, (?) did you spend"
gasto,"spend, (I) spend, (I) have"
gastó,"(she) spent, (he) spent"
me acostaba,I went to bed
me acostaré,(I) will go to bed
me fui,I left
me iba,i was leaving
me iré,(I) will leave
menos mal,luckily
nadando,swimming
nadábamos,(we) were swimming
nos acostaremos,we will lie down
nos iremos,we will go
rap,rap
real,real
reales,real
rock,"rocks, rock"
se acostaban,they lay down
se fue,left
se iba,(he) was leaving
se iban,They were leaving
se irá,he'll be leaving
te acostabas,you lay down
te acostarás,you will lie down
te fuiste,you left
te ibas,you were leaving
te irás,you will leave
verdadera,"true, real"
verdaderas,"real, true"
verdadero,"real, positive, true"
verdaderos,"real, true"
vestir,"(to) wear, wears, (to) decorate"
vestíbulo,"foyer, halle, vestibule"
