abuelita,grandma
abuelitos,grandparents
aconseja,"advises, guide"
aconsejan,"advise, guide"
aconsejas,(you) advise
aconsejo,(I) advise
adulta,adult
adulto,adult
bajita,"short, really short"
bajitas,"short, really short"
bajito,"short, really short"
bistec,steak
casaron,"(they) got married, (?) did they get married"
crecieron,"rose, (they) grew up"
crecimos,(we) grew up
creciste,"grow up, (?) did you grow up, rose"
creció,"rose, (he) grew up, (?) did she grow up"
crecí,"rose, (I) grew up"
gatito,"little cat, kitten"
genial,"cool, great"
graduada,graduate
graduado,graduate
graduados,graduates
hermanito,little brother
igual,"is, anyway, as"
iguales,"same, the same, equal"
jalea,jelly
llevarme bien,get along
llevarnos bien,to get along
llevarse bien,get along
llevarte bien,(to) get along
me llevaba bien,I got along well
me llevo bien,(I) get along
mesita,little table
normal,normal
nos casamos,"(we) got married, (we) are getting married"
nos llevamos bien,(we) get along
pequeñita,really small
pequeñito,"small, really small"
pequeñitos,really small
perrito,little dog
pesca,fishing
poquito,"little, shot"
ratones,mice
ratón,mouse
rosa,"pink, rosa"
se casan,"(they)are getting married, get married"
se casó,(he) got married
se llevan bien,(they) get along
se llevaron bien,They got along well
se llevó bien,got along well
soltera,single
soltero,single
solteros,single
te casas,do you get married
te llevabas bien,you got along
te llevas bien,(you) get along
