asunto,"matter, issue, business"
asuntos,"affairs, matters, business"
añade,"(she) adds, (she) is adding, (you) add"
añadir,"add, (to) add, write"
añado,"adding, I'm adding, (I) add"
clara,clear
claras,clear
claro,"light, clear, sure"
contacto,"contact, contacts"
contactos,"contact sheet, contacts, contact print"
di,(I) gave
dieron,"(they/you-plural) gave, (they/you-plural) gave on to, (they/you-plural) administered"
digital,digital
digitales,digital
dimos,"(we) grew, (we) dealt, (we) gave"
dio,"(he) gave, (she) gave, give"
diste,"(?) did you give, (you) gave, give"
e,and
ellas se,they know
ellos se,they know
enteramos,(we) found out
enteraron,(they) found out
enterarse,(to) find out
enteraste,(?) did you find out
enteré,(I) found out
enteró,(she) found out
estudio,"study, (I) study, (I) am studying"
estudios,"studies, studios"
formulario,form
querer decir,"want to say, drive, drove"
quería decir,I wanted to say
quiere decir,"(you-formal) want to say, (he/she/it) means, (you-formal) mean"
quieren decir,They mean
quieres decir,"(you) want to say, (you) mean"
salida,exit
salidas,exits
se,"you, are, each other"
se la,I know it
se las,I know them
se los,I know them
software,software
tú se,you know
web,web
él se,he know
