abajo,"down, downstairs, below"
arriba,"upstairs, up"
cuadrada,"square, balanced, breve"
cuadradas,square
cuadrado,square
de todas maneras,"in any case, anyway"
dirán,"say, will say, give"
frente,"front, brow, facade"
gabinete,cabinet
gabinetes,cabinets
habrá,"there will be, will be"
harán,"(they/you-plural) will do, (they/you-plural) will become, (they/you-plural) will work"
haré,"(I) will do, (I) will make, (I) will be doing"
importa,"(?) do they mind, (?) do you mind, (?) does she mind"
importar,"matter, import"
importará,matter
juego,"game, (I) play, games"
lavaplatos,"dishwasher, sink"
pantalla,screen
podremos,"can, we can, (we) will be able to"
podrá,"(he/she/it/you) will be able to, may"
podrán,"(they/you-plural) will be able to, (they/you-plural) will be capable of"
podrás,"(you) will be able to, you'll be able to"
podré,"(I) will be able to, can"
pondrás,"(?) will you put, (you) will put"
pondré,"give, (I) will put in, (I) will post"
poner,"put, (to) put, (to) set"
redonda,"round, round-trip, Roman character"
redondas,round
redondo,"round, round-trip, round (of beef)"
redondos,"round-trip, round (of beef), round"
sabremos,"(we) will taste, know, (we) will know"
sabrá,"(he) will know, he'll know"
sabrán,"(they/you-plural) will taste, (they/you-plural) will know, know"
sabrás,"(you) will know, know, (you) will taste"
sabré,"know, (I) will know, (I) will taste"
saldremos,"go, we will leave"
saldrá,"(she) will go out, (he) will leave"
salir,"(to) go out, (to) leave, going out"
tal como,such as
techo,"ceiling, roof"
tendrán,"have, (?) will they be having, had"
tendrás,"(you) will have, (you) will be, you'll be"
tendré,"have, (I) will have, keep"
tener,"have, (to) have, get"
trasera,back
trasero,"can, back"
vendremos,"come, (we) will come, (we) will arrive"
vendrá,"(he) will be coming, (he) will come, (she) will be coming"
venir,"come, (to) come, coming"
vivo,"(I) live, bright"
vivos,"alive, bright, brights"
