contra,against
círculo,"circle, round"
círculos,circles
devolvemos,"We return, return"
devuelven,"(you) return, (you) are returning"
devuelves,return
devuelvo,"I return, return"
dáselo,Give it
déselo,give it to them
dígame,"say to oneself (me)!, say (me)!, say to each other (me)!"
dígamelo,(you) say it to me
dígaselo,(you) say it to them
díselo,tell
empujando,pushing
empujar,(to) push
espero,"(I) hope, (I) am waiting for, (I) wait"
graba,(you) record
grabando,recording
grabo,(I) record
hala,pull
halar,pull
incluir,"takes, includes, write"
lancé,"(I) threw, throw"
lanzamos,"(we) give, (we) dropped, (we) throw"
lanzar,(to) throw
lanzas,(you) throw
medio,"middle, half"
molesta,"(you-formal) upset, (you-formal) disturb, (you-formal) bother"
parte de atrás,back
pusieron,"(they/you-plural) put, (they/you-plural) paid, (they/you-plural) took"
pusimos,"put, (we) put, (we) put on"
repetimos,repeat
repite,"(you) repeat, (he) repeats"
repiten,repeat
repito,(I) repeat
salga,"leave, leaves"
supieron,"know, (they/you-plural) knew, (they/you-plural) tasted"
supimos,"(we) knew, knew, told"
venga,"come, come!, (I/he/she/it/you) come"
