hablando,"talking, speaking"
hablar con,talk to
estudiando,studying
que estudiar,what to study
escuchando,"listening, listening to, hearing"
aula,classroom
lección,lesson
lecciones,"lessons, classes"
aprendiendo,learning
quiero aprender,I want to learn
comiendo,"eating, having, taking"
diccionarios,dictionaries
diccionario,dictionary
examen,"test, exam, examination"
exámenes,"exams, tests"
que hacer,to do
haciendo,"doing, making, asking"
abriendo,opening
queremos abrir,we want to open
notas,grades
nota,"note, grade"
pizarras,"blackboards, boards, chalkboards"
pizarra,"board, blackboard, chalkboard"
escribiendo,writing
que escribir,what to write
saliendo,"going out, leaving, seeing"
dibujando,drawing
quiere dibujar,wants to draw
quieren beber,they want to drink
bebiendo,"drinking, he's having"
que leer,what to read
leyendo,reading
escuelas,schools
