basurero,garbage collector
borrador,draft
borradores,erasers
básica,basic
básicas,basic
básico,essential
básicos,basic
corta,short
cortan,they cut
cortaré,i will cut
corto,short
cuadrados,squares
curso,grade
deletrear,spell out
espacio,space
espacios,spaces
estantería,shelving
incluso,even
matemáticas,math
me apuro,I hurry
medias,tights
menos,less
nos apuramos,we hurry
ortografía,orthography
principiante,beginner
principiantes,beginners
reprobamos,we fail
reprobar,fail
reprobé,I failed
reprobó,reprobate
reprueban,fail
repruebas,fail
repruebo,I fail
se apura,he hurries
se apuran,they hurry up
segundo,second
segundos,seconds
si,Yeah
suficiente,enough
suficientes,enough
suma,addition
te apuras,hurry up
tijeras,pair of scissors
vocabulario,vocabulary
