voy a,I will
vas a,you'll
va a,going to
próximas,"next, closes, nears"
próximos,"next, closes, following"
próximo,"next, nearest"
próxima,next
maletas,"suitcases, bags"
pasaportes,passports
boletos,tickets
vamos a,we are going to
van a,going to
adónde,where
carros,cars
avión,"plane, airplane"
aviones,"planes, airplanes"
llegar,"(to) arrive, (to) be, (to) get"
listo,"ready, smart"
lista,"list, ready, smart"
listos,"ready, smart"
listas,ready
pronto,soon
estar,"be, (to) be, (to) stay"
por,"for, in, by"
taxis,taxis
veintiséis,"26, twenty-six"
veintisiete,"27, twenty-seven"
llegan,(they) arrive
llego,"(?) do I get, (I) arrive"
llegas,"(you) arrive, (?) do you arrive"
llega,"(?) does it arrive, (he) arrives, (it) arrives"
llegamos,"(we) arrived, (we) arrive, (?) do we arrive"
minuto,minute
minutos,minutes
cuarto,"room, bedroom, quarter"
veintiocho,"28, twenty-eight"
menos,"less, minus, fewer"
cámara,camera
cámaras,cameras
veintinueve,"29, twenty-nine"
treinta,"30, thirty"
