anchas,wide
anchos,"wide, widths, proud"
andén,platform
cuadra,block
cuadras,blocks
cuero,leather
escaleras,stairs
esquina,corner
ferrocarril,"train, railroad"
me perdí,i got lost
me subo,I get on
norte,north
nos perdimos,(we) got lost
nos subimos,we got on
para,"for, to, (he) stops"
paramos,"stop, stopped"
paras,stop
paro,"stop, (I) stand, (I) stop"
perderme,(to) get lost
perdernos,(to) get lost
perderse,"fail, failed, (to) get lost"
perderte,(to) get lost
plástico,plastic
se cree,it is believed
se dice,"say, It is said"
se habla,is spoken
se hacen,"(they/you-plural)  do, (they/you-plural)  make, (they/you-plural)  write out"
se necesitan,are needed
se ofrece,is offered
se ofrecen,are offered
se usa,"(you)  use, (he/she/it)  uses, (he/she/it)  wears"
se vende,"is sold, for sale, sold"
se venden,"are sold, sold"
subirme,(to) get on
subirnos,(to) get on
subirse,"get, ride, getting"
subirte,(to) get in
subiste,"rose, up"
sur,south
te perdiste,(you)  got lost
te subes,you climb
toallas,"towels, toweling"
turismo,tourism
