aguacate,"avocados, avocado"
aguacates,avocados
anduve,"(I) worked, (I) walked, (I) went"
anduvieron,"walked, walk"
anduvimos,walked
anduviste,"walked, walk"
anduvo,"walked, walk"
cadena,"chain, chain letter, grand chain"
cadenas,chains
clásica,"classical, classic, standard"
describir,"(to) describe, (to) trace, describe"
doblamos,"turn, turned"
doblar,"turned, turn, goes"
doblas,turn
estacionar,"(to) park, park, parking"
estacionaré,(I) will park
estacionaste,(?) did you park
perdidos,"lost, missing"
pudieron,(they) could
pudimos,(we) could
quise,"(I) wanted, (I) loved, I tried"
quisieron,(they) wanted
quisimos,"want, (we) wanted, we tried"
quisiste,"(you) wanted, want"
quiso,want
red,red
retrasamos,delay
retrasaste,(you) were delayed
retrasó,"delay, (it) was delayed"
sal,salt
señala,"give, show"
señalar,"point, gave, give"
sonar,"(to) thump, (to) fail, goes"
ten,ten
ven acá,come here
vete,"go, (I/he/she/it/you) veto, go away"
