al conducir,when driving
al cruzar,to cross
al entrar,to enter
al escuchar,when listening
al llegar,arriving
al regresar,upon returning
al salir,(I) left
al ver,seeing
bajarse,"got, getting, roll"
bajarte,(to) get off
cómo puedo ir,How can I go
funcionan,"go, work, (they/you-plural) work"
funcionar,"(to) work, go, going"
me bajo,I am getting off
me caigo,"(I)  fall, (I)  let drop / fall, (I)  hang"
me puede cambiar,can change me
me río,I laugh
nos bajamos,"(we) are getting off, (we)  descend, (we)  drop"
nos caemos,we fall
nos reímos,"(we)  laughed, (we)  laugh"
pedir,"ask, (to) ask for, (to) make"
pediré,"(I) will ask for, (I) will bags, (I) will need"
pediste,"(you) bags (past), (you) begged, (you) had dibs on"
pedí,"need!, (I) asked, (I) asked for"
pidieron,"(they/you-plural) had dibs on, (they/you-plural) ordered, (they/you-plural) bags (past)"
pidió,"(he/she/it/you) asked for, (he/she/it/you) asked, (he/she/it/you) begged"
se bajan,"(they/you-plural)  descend, (they/you-plural)  drop, (they/you-plural)  go down"
se cae,"(he/she/it)  lets drop / fall, (he/she/it)  hangs, (he/she/it)  falls"
se caen,"(they/you-plural)  let drop / fall, (they/you-plural)  hang, (they/you-plural)  fall"
se ríe,Serie
se ríen,(they/you-plural)  laugh
sonar,"(to) thump, (to) fail, goes"
suena,"(?) does it sound, (it) sounds, sound"
te caes,you fall
te ríes,you laugh
