ahorrar,"save, saving, (to) save"
alquilar,"(to) rent, lets, renting"
alrededor del,around the
así que,"so that, so"
autopista,"highway, freeway"
avenida,"avenue, boulevard, drive"
avenidas,avenues
cálido,"hot, warm, hotter"
empaqué,(I) packed
encantaría,would love
encantarían,(I) would love
euro,euro
gasolina,gas
irte,"(to) leave, go"
mapa,map
mapas,maps
me voy,"I am leaving, I'm leaving"
nos vamos,Let's go
profunda,deep
profundo,deep
resto,"rest, return of service / serve, (I) remain"
se va,is leaving
se van,they go
sería una buena idea,It would be a good idea
soñamos,"(we) dream, (we) dreamed/dreamt"
sueña,"(he/she/it) dreams, (you-formal) dream, dream!"
sueño,"dream, sleepy, tired"
te vas,(you) are leaving
