a ella le,she
a ella le gusta,she likes
a mí me,to me
a mí
                    me gusta,I like it
a ti te,to you
a ti te gustan,you like them
a él le,to him
a él le gustan,he likes
centímetros,centimeters
es segura,it is safe
es seguro,It is safe
es verde,It is green
estoy lista,I'm ready
estoy listo,I'm ready
estoy seguro,I'm sure
está listo,ready
está rico,It's good
está segura,is sure
están listas,they are ready
están listos,they are ready
están ricas,they are rich
están ricos,They are tasty
están seguros,are you sure
estás lista,are you ready
estás segura,are you sure
gramo,gram
gramos,grams
le das,you give
le doy,I give
le gusta,likes
le gustan,Likes
lista,list
listo,clever
listos,ready
me dice,tells me
me gusta,I like
profesora,professor
profesoras,teachers
profesores,teachers
rectas,straight
recto,right
rico,rich
ricos,rich
son seguros,They're safe
son verdes,they are green
te dicen,they tell you
te gustan,you like them
