actriz,actress
cantantes,singers
cliente,"customer, client"
concejo municipal,city council
conductor,driver
conductora,driver
conductoras,driver
conductores,"conductive, presenters, drivers"
copiaba,(she) was copying
copiamos,(we) copied
copiando,"(you) were copying, copying, (I) was copying"
copiaste,(?) did you copy
correo,"email, mail"
departamento,"department, apartment"
departamentos,"departments, apartments, compartments"
descargamos,downloaded
descargando,downloading
descargaste,"download, (?) did you download"
descargué,"download, (I) downloaded"
descargó,"download, downloaded, (?) did you download"
fotógrafa,photographer
fotógrafas,photographers
fotógrafo,photographer
fotógrafos,photographers
física,physics
ganaba,"(I) used to win, (she) would always win, win"
ganaban,"(they) used to win, won, earned"
ganabas,"got, (?) did you use to earn, won"
ganar,"win, (to) win, (to) earn"
ganó,"(he) won, (she) earned, (she) won"
impresora,printer
limpiador,cleaner
limpiadora,cleaner
limpiadoras,cleaners
limpiadores,cleaners
limpiando,cleaning
madera,wood
ocupación,occupation
personal,"personal, staff"
pienso que deberías,i think you should
recepcionista,receptionist
