querer,"(to) want, love, (to) love"
recibir,"(to) receive, (to) get, take"
libre,"free, off"
tipo,"type, guy, kind"
común,"common, average, mutual"
modelo,model
tumbarme,(to) lie down
reservar,(to) reserve
compartir,"(to) share, share, sharing"
clic,click
igual,"is, anyway, as"
organizar,"(to) arrange, (to) cause, (to) organize"
organicé,(I) organized
hoja,"leaf, sheet, blade"
acompañar,(to) go with
conversar,"(to) talk, (to) chat, talk"
lado,side
me veré,i will see myself
me tumbo,I lie
sino,"but, but rather, if not"
exactamente,exactly
construir,(to) build
carrera,"career, race, degree"
la parte de abajo,the bottom
andar,"going, (to) walk, ride"
felicidades,congratulations
izquierdo,"left, nearest"
diseñar,"design, planned, plan"
