feo,"ugly, bad"
bilingüe,bilingual
final,"final, finals, ultimate"
cierto,"true, (?) shouldn't they, (?) shouldn't we"
personal,"personal, staff"
necesario,"necessary, needed"
positivo,"positive, optimistic"
pública,public
principal,"main, capital, principal"
único,"only, only one, unique"
local,"local, business, home"
profesionales,"professional, professionals"
imposible,impossible
distintos,"different, distinct, several"
familiar,"familiar, family, colloquial"
capaz,"capable, able, able to"
plano,"flat, level"
justo,"fair, right, just"
histórico,"historical, historic"
naturales,"natural, innate, natives"
tradicional,traditional
rico,"rich, delicious, tasty"
reciente,"recent, hottest"
regular,"regular, adjust, average"
universal,universal
amplia,"wide, spacious, ample"
máxima,"maximum, high, maxim"
intelectual,intellectual
numerosos,"many, numerous, large"
independiente,independent
múltiples,"multiple, a lot of, many"
ideal,"ideal, dream, ideals"
comunes,"common, commons, mutual"
superiores,"superior, better, higher"
lógico,"logical, logician (m.), natural"
mundial,"World, World Championship(s), Global"
industrial,"industrial, industrialist"
original,"originals, original"
adecuada,"right, adequate, appropriate"
mal,"bad, wrong, badly"
puro,"pure, chaste, cigar"
infantil,"childish, children's"
probable,"likely, probable, provable"
similares,"similar (plural), likes"
antiguos,"ancient, old"
loco,crazy
consciente,"conscious, aware"
eficaz,"effective, efficacious"
particular,"particular, peculiar, (private) individual"
clásico,"classic, classical, standard"
conveniente,"convenient, advisable"
inmediato,"immediately, immediate"
revolucionario,revolutionary
brillante,"brilliant, bright, diamond"
escasa,"scarce, limited, scant"
elevado,"elevated, large, high"
pendiente,"pending, incline, hanging"
previa,"previous, preliminary, prior"
mínima,"minimum, minimum temperature, minimal"
vivo,"(I) live, bright"
privado,"private, been in, been fashionable"
ácido,"sour, acid"
formal,"formal, dependable, firm"
sencillo,"simple, change, change (money)"
femenino,"feminine, female, ladies'"
débil,"weak, feeble"
legal,"legal, fair, far out"
libre,"free, off"
presentes,"(you) present, those present, present tense"
muy,"very, too, really"
así,"so, like that, like this"
tan,"so, as, that"
sólo,"only, just, alone"
menos,"less, minus, fewer"
donde,"where, when, because"
tanto,"so, so much, as much as"
además,"besides, in addition, also"
aún,"still, yet, even"
general,"generals, general"
supuesto,"supposed, assumed"
especialmente,especially
quizá,"perhaps, maybe, may"
alrededor,"around, about, round"
solamente,only
actualmente,currently
simplemente,"simply, just"
realmente,"really, actually"
totalmente,"totally, completely, quite"
quizás,"maybe, perhaps, might"
