el rojo,the red one
la amarilla,the yellow one
el azul,the blue one
encontré,"(I) found, find"
coger,"take, (to) take, catch"
cojo,"(I) take, I'm taking, get"
sí,"yes, yeah, does"
el mío,mine
la tuya,yours
encontraste,"(?) did you find, (you) found"
ahí,"there, then"
vida,"life, lives"
vidas,lives
cogen,"(?) are you taking, (you) take, catch"
coge,"takes, (he) takes, catch"
cogemos,"we're taking, (we) take, (?) are we taking"
no,"no, any"
elegimos,"(we) chose, (we) are choosing, (we) choose"
las nuestras,our
anuncios,"ads, advertisement, advertisements"
anuncio,"ad, advertisement, announcement"
elijo,"I'm choosing, (I) choose, (?) should I choose"
pagaste,"pay, (?) did you pay for, (you) paid for"
querer,"(to) want, love, (to) love"
elige,(it) chooses
eligen,"(?) do they choose, (they) choose"
eliges,"(?) can you choose, (you) choose"
oraciones,"sentences, prayers"
oración,"sentence, prayer"
compramos,"(we) buy, (we) bought, (?) are we buying"
gracioso,funny
graciosa,funny
graciosas,funny
graciosos,funny
usando,"wearing, (?) are you using, using"
encontró,"find, (?) did he find, (he) found"
emocionante,"exciting, moving"
dura,hard
duro,hard
