yo fui,I went
tú fuiste,you went
setecientos,"seven hundred, 700"
ochocientos,"eight hundred, 800"
vivieron,(they) lived
vivió,"(?) did he live, (he) lived, (she) lived"
comprendí,"(I) understood, understand"
comprendimos,"understand, (we) understood"
comprendieron,"(?) did you understand, understand, (you) understood"
comprendiste,"(?) did you understand, understand, (you) understood"
comprendió,(she) understood
morir,(to) die
nosotros fuimos,we went
practiqué,"play, (I) played, (I) practiced"
novecientos,"nine hundred, 900"
mandaron,(they) sent
mandamos,"(we) send, (we) sent"
mandé,(I) sent
mandó,"(he) sent, (she) sent, (you) sent"
mandaste,"(?) did you send, (you) sent"
llegué,"(I) arrived, (I) came, (I) was"
recordamos,"(we) remember, (we) remembered"
practicaste,"play, (you) played, (?) did you play"
practicó,"(he) played, (she) played, (you) played"
practicaron,"(they) played, played"
invité,(I) invited
invitaron,(they) invited
invitaste,(?) did you invite
invitó,"(you) invited, (she) invited, invite"
invitamos,"we're inviting, (we) are inviting, (we) invited"
esperé,(I) waited
esperaste,"(you) waited for, (?) did you wait, wait"
esperaron,(they) waited
esperó,"(she) waited for, (he) waited, (you) waited"
esperamos,"(we) hope, (we) are waiting, (we) waited"
comencé,"(I) started, (I) began"
pensamos,"(we) think, (we) thought, (we) are thinking"
pensaron,(they) thought
pensé,(I) thought
pensaste,"(?) did you think, (you) thought"
pensó,"(he) thought, (she) thought"
llegó,"(he) arrived, (he) was, (she) came"
llegaste,"arrive, (you) arrived, (?) did you get"
llegaron,"(?) did you arrive, (they) arrived, (they) got"
llegamos,"(we) arrived, (we) arrive, (?) do we arrive"
miraste,"(you) saw, (?) did you look at, (?) did you see"
miré,"(I) looked, (I) saw, (I) watched"
recuerda,"remember, (she) remembers"
recuerdas,"(you) remember, (?) do you remember"
recuerdan,(?) do you remember
recuerdo,"(I) remember, memory"
trabajaste,"(?) did you work, (you) worked"
trabajaron,(they) worked
trabajamos,"(we) work, (we) worked"
trabajó,"(?) did he work, (he) worked, (she) worked"
trabajé,"(I) worked, work"
usé,"use, (I) used, (I) wore"
usaste,"(you) wore, use, (you) used"
usó,"use, (she) wore, (?) did he use"
usaron,"(they) used, (they) wore"
usamos,"(we) use, (we) used, (we) wear"
comenzamos,"(we) started, (?) do we start, (we) begin"
comenzaron,(they) started
comenzó,"(?) did it begin, (he) started, (it) started"
comenzaste,"start, (you) started, (?) did you start"
pintaron,(they) painted
pintó,"(?) did he paint, (he) painted"
pinté,painted
pintamos,"(we) are painting, (?) are we painting, (we) painted"
pintaste,"(you) painted, (?) did you paint"
cambió,"(he) changed, changed, (she) changed"
cambié,(I) changed
cambiamos,"(we) change, (we) changed"
cambiaron,(they) changed
cambiaste,"change, (you) changed"
ayudamos,"(we) help, (we) helped"
ayudaron,helped
ayudé,(I) helped
ayudó,"(he) helped, (she) helped"
ayudaste,(you) helped
bailó,(she) danced
bailaste,"dance, (you) danced, (?) did you dance"
bailaron,(they) danced
bailé,(I) danced
