a pie,walking
anual,annually
barrio,neighborhood
barrios,neighborhood
circo,circles
cola,tail
enorme,"huge, enormous"
enormes,"huge, enormous"
festival,festival
festivales,festivals
frutería,fruit store
las afueras,the outskirts
mayoría,"majority, most"
monumento,monument
monumentos,monuments
parque de atracciones,amusement park
pasado mañana,day after tomorrow
pasando,"happening, going on, having"
pasar,"(to) pass, (to) spend, happen"
pensar,"(to) think, think"
piensan,"thinks, (you) think, think"
piensas,"(you) think, (?) do you think, (you) are thinking"
plaza,"square, plaza, park"
principal,"main, capital, principal"
principales,main
quiosco,kiosk
solamente,only
terraza,"terrain, land, plot of land"
