nevar,"(to) snow, snowing, snow"
llover,"(to) rain, raining"
calurosa,"hot, warm"
caluroso,"hot, warm"
calurosos,"hot, warm"
fría,"cold, colder"
frío,"cold, cold weather"
fríos,cold
comenzar,"start, starting, (to) begin"
todo,"everything, all, whole"
clima,weather
nevando,snowing
encantar,"(to) love, love"
dormimos,"(we) sleep, (we) slept"
comenzamos,"(we) started, (?) do we start, (we) begin"
lloviendo,raining
encontrarme,(to) meet up
encontrarse,(to) meet up
encontrarnos,(to) meet up
encontrarte,(to) meet up
primera,first
primero,"first, 1, 1st"
primeros,first
primeras,"first (plural), first gear (plural), first class (plural)"
caminó,"(she) walked, walk, (?) did you walk"
lluvia,rain
árboles,trees
árbol,tree
se encuentran,(they) meet up
te encuentras,(?) are you meeting up
se encuentra,he's meeting up
me encuentro,(I) meet up
comienzas,"(you) begin, (?) do you start, start"
comienza,"(?) does it start, (she) begins, (she) starts"
comienzo,"start, beginning, (I) begin"
comienzan,"(?) do they start, (they) begin, (they) start"
haber,"(to) have, (to) be, be"
duerme,"(he) is sleeping, (he) sleeps, (she) sleeps"
duermes,"sleep, (you) sleep, (?) do you sleep"
duermo,"sleep, (I) sleep, (I) fall asleep"
duermen,"(?) do you sleep, (they) sleep"
llovió,"(it) rained, rain"
nevó,"(it) snowed, snow"
fue un,was a
fueron unos,they were about
corrió,"(she) ran, run, (you) ran"
nos encontramos,"(we) are meeting up, meeting, (?) are we meeting up"
montaste,"(?) did you ride, start, ride"
