bola,ball
bolígrafo,pen
moneda,"coin, currency, piece"
moto,"motorcycle, motor scooter, motorbike"
celular,"cellphone, cell phone, cell"
radio,radio
pluma,"pen, feather"
campana,"bell, hood"
fuente,"fountain, source, spring"
objeto,"object, (I) object"
aparato,"gadget, apparatus, piece of apparatus"
vehículo,vehicle
alcoholes,alcohols
pantalla,screen
piezas,"pieces, bedrooms, rooms"
polvo,"dust, powder, face powder"
auto,"car, auto, automobile"
columna,"column, spine, backbone"
bandera,"flag, colors, flagship"
bomba,"bomb, big news, gas station"
arma,"weapon, make a bundle!, make a fortune!"
